step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,1,0.0000000000e+00,1.8778517776e+07,1.9206781835e+07,5.4334447074e+06,3.6687348590e+07,7.6849159505e+07,1.3158054855e+08,2.0000000000e+30,1.0554703954e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.2023393858e+03,6.7888168930e+01,2.7616648344e+01,6.2995921330e+00,2.4444153753e+01,1.8440000076e-05,0.0000000000e+00,3.0325003532e+00,-4.0477935731e-18,-2.1428090173e+02,-5.0453265205e+05,7.4722955077e+04,-7.0707420383e-18,3.0524343812e+04,5.0219016882e-01,1.9734378535e-02,2.4146778876e+00
1,1,2,0.0000000000e+00,2.5981440038e+07,2.7455019639e+07,8.1428892984e+06,4.5873777839e+07,1.0424597324e+08,1.2794752825e+08,2.0000000000e+30,1.0521490757e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.2204544225e+03,1.8111264012e+01,7.1805223000e-01,5.1316949870e+00,5.8369796270e+00,1.3640000361e-05,0.0000000000e+00,2.9549076433e+00,1.4219734396e-18,-1.7562919002e+02,-5.0438796272e+05,7.4673162070e+04,9.7733608060e-18,2.7541107475e+03,5.0184461291e-01,1.9980003584e-02,2.4146778876e+00
1,1,3,0.0000000000e+00,2.4000834639e+07,2.5746768821e+07,8.8966920099e+06,4.1690013874e+07,9.1877801002e+07,1.2471522467e+08,2.0000000000e+30,1.0505232237e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.2378555391e+03,1.7399798214e+01,7.3430680300e-01,4.3438509570e+00,4.6648096690e+00,1.5480000002e-05,0.0000000000e+00,3.0249723791e+00,-6.8396477888e-18,-1.5898552465e+02,-5.0428178330e+05,7.4649559589e+04,-2.0587290698e-17,1.7832301927e+04,5.0168129069e-01,2.0085158794e-02,2.4146778876e+00
1,1,4,0.0000000000e+00,2.3587386587e+07,2.5999682443e+07,8.6992346502e+06,3.8127384374e+07,9.0970948381e+07,1.2506169750e+08,2.0000000000e+30,1.0494272559e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.2549891627e+03,1.7132251521e+01,7.3502774500e-01,4.3127046930e+00,4.3651785370e+00,2.4020000183e-05,0.0000000000e+00,3.0054396679e+00,-3.7865825085e-18,-1.2675429241e+02,-5.0419201572e+05,7.4622310595e+04,7.1292010465e-20,2.0908741989e+04,5.0148904726e-01,2.0294027298e-02,2.4146778876e+00
1,1,5,0.0000000000e+00,2.3098117764e+07,2.6133210410e+07,8.3092759434e+06,3.5528112311e+07,8.9670573735e+07,1.2589457204e+08,2.0000000000e+30,1.0497412030e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.2714566776e+03,1.6466189634e+01,7.2720676800e-01,4.2920288130e+00,3.6654091620e+00,1.7379999917e-05,0.0000000000e+00,3.0333048733e+00,-2.1764785733e-17,-9.1439670924e+01,-5.0409722797e+05,7.4600881079e+04,-7.6022278555e-17,2.2249956966e+04,5.0133503630e-01,2.0525264887e-02,2.4146778876e+00
1,1,6,0.0000000000e+00,2.2079012998e+07,2.5120936427e+07,8.1199182689e+06,3.3469341083e+07,8.5737593095e+07,1.2656891110e+08,2.0000000000e+30,1.0494932886e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.2867505542e+03,1.5292564235e+01,7.1578018600e-01,4.2581339860e+00,2.5153315270e+00,1.1239999822e-05,0.0000000000e+00,2.9989291380e+00,-3.2306984531e-17,-5.9191613599e+01,-5.0400208855e+05,7.4588448210e+04,-1.1280688742e-16,2.1825443399e+04,5.0124235072e-01,2.0738444915e-02,2.4146778876e+00
1,1,7,0.0000000000e+00,1.9802695593e+07,2.1475858072e+07,7.8469389664e+06,3.1540092929e+07,7.4444000520e+07,1.2551890719e+08,2.0000000000e+30,1.0489804631e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.3027994321e+03,1.6047586646e+01,7.2676424800e-01,4.2544628380e+00,3.2121577960e+00,1.9479999992e-05,0.0000000000e+00,3.0481292017e+00,-2.3985229688e-17,-2.8016323998e+01,-5.0391199396e+05,7.4579789963e+04,-8.6692594267e-17,2.2607602065e+04,5.0117533415e-01,2.0945485689e-02,2.4146778876e+00
1,1,8,0.0000000000e+00,1.7259520794e+07,1.7072405331e+07,7.4809709510e+06,2.9435009738e+07,6.0893325258e+07,1.2324458336e+08,2.0000000000e+30,1.0484033279e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.3188358931e+03,1.6035091248e+01,7.2988456300e-01,4.3037016670e+00,3.3116655120e+00,1.1320000340e-05,0.0000000000e+00,2.9898577542e+00,3.0840266896e-18,4.4436740909e+00,-5.0382441361e+05,7.4572007505e+04,3.4953010566e-17,2.2472453461e+04,5.0111383873e-01,2.1161407726e-02,2.4146778876e+00
1,1,9,0.0000000000e+00,1.5806917164e+07,1.4728459368e+07,7.0425328196e+06,2.7088035395e+07,5.3604790881e+07,1.2235368365e+08,2.0000000000e+30,1.0479018638e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.3342167841e+03,1.5379571931e+01,7.1924842100e-01,4.3390248360e+00,2.6593616060e+00,4.9979999858e-05,0.0000000000e+00,2.9865485219e+00,2.1231860649e-17,4.0769619778e+01,-5.0373954044e+05,7.4560896696e+04,9.4849488789e-17,2.2911659085e+04,5.0102888168e-01,2.1402365316e-02,2.4146778876e+00
1,1,10,0.0000000000e+00,1.4804783424e+07,1.2883116095e+07,6.3679546054e+06,2.5004412620e+07,4.8619621860e+07,1.2282076237e+08,2.0000000000e+30,1.0475114022e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.3530650922e+03,1.8846981267e+01,7.0720863800e-01,4.3576620930e+00,6.0485943990e+00,1.5580999843e-05,0.0000000000e+00,3.0114298048e+00,8.4353318940e-18,8.2289031163e+01,-5.0365898186e+05,7.4547816753e+04,3.7129016791e-17,2.2959151564e+04,5.0092922061e-01,2.1677664389e-02,2.4146778876e+00
