step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,2.7211217379e-01,2.1516577302e+00,2.2257176821e+00,0.0000000000e+00,2.8965972629e+01,2.7588258005e+00,3.0783430372e+93,1.7287721539e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.8545428210e+00,2.5996097410e+00,5.8876771000e-02,3.6772227100e-01,4.2154444200e-01,2.3730000000e-05,0.0000000000e+00,3.0150062000e-01,0.0000000000e+00,-9.4688277676e-03,2.5629977482e-01,0.0000000000e+00,-7.7484645622e-21,2.7226465816e-02,5.1229947903e-01,2.5810402442e-02,5.0000000000e+00
1,1,20,0.0000000000e+00,3.6559219184e-02,2.2804598565e-01,1.9945163628e-01,0.0000000000e+00,3.9878270890e+00,2.7656803362e+00,3.0783430372e+93,1.7292986099e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,7.1914435230e+00,2.3366729580e+00,5.6280627000e-02,3.4223563100e-01,2.3195381900e-01,2.1873999999e-05,0.0000000000e+00,2.9949901800e-01,0.0000000000e+00,-1.5730042917e-02,2.4487131459e-01,0.0000000000e+00,-2.9471206146e-22,4.1261464656e-02,4.9062093777e-01,1.1343511893e-02,5.0000000000e+00
1,1,30,0.0000000000e+00,1.5770957776e-02,8.5246620438e-02,6.9071632344e-02,0.0000000000e+00,1.7462584586e+00,5.0451768147e+00,3.0783430372e+93,1.7292845636e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,9.4623888370e+00,2.2708112690e+00,5.6307249000e-02,3.3778067300e-01,1.6792182900e-01,2.1963999998e-05,0.0000000000e+00,2.9972683700e-01,0.0000000000e+00,-1.5563883299e-02,2.5967325282e-01,0.0000000000e+00,5.7624093028e-23,4.8713847426e-02,5.2008319900e-01,1.4254714394e-02,5.0000000000e+00
1,1,40,0.0000000000e+00,7.1621730578e-03,3.6839946333e-02,2.7317677747e-02,0.0000000000e+00,8.0264590903e-01,1.1703555411e+01,3.0783430372e+93,1.7292125328e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.1750381886e+01,2.2878576240e+00,5.6045341000e-02,3.3707072200e-01,1.8592408600e-01,2.0455000000e-05,0.0000000000e+00,2.9954393100e-01,0.0000000000e+00,-1.6074683850e-02,2.6429886514e-01,0.0000000000e+00,2.3327568955e-21,4.8885429510e-02,5.2938825835e-01,1.4043298147e-02,5.0000000000e+00
1,1,50,0.0000000000e+00,3.2088210066e-03,1.6213259351e-02,1.1095949726e-02,0.0000000000e+00,3.5931329255e-01,2.2265168745e+01,3.0783430372e+93,1.7292728771e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.4013414037e+01,2.2629033580e+00,5.5117377000e-02,3.3705745700e-01,1.6455948300e-01,2.5323000001e-05,0.0000000000e+00,2.9914430500e-01,0.0000000000e+00,-1.5909827858e-02,2.6248316998e-01,0.0000000000e+00,2.1429312494e-21,4.2957104286e-02,5.2574195026e-01,1.4055258957e-02,5.0000000000e+00
1,1,60,0.0000000000e+00,1.4970487149e-03,8.2111772253e-03,5.1852533870e-03,0.0000000000e+00,1.6839828371e-01,3.9378971376e+01,3.0783430372e+93,1.7293298055e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.6337972052e+01,2.3244456790e+00,5.6128482000e-02,3.3828799400e-01,1.6858768500e-01,1.9362000003e-05,0.0000000000e+00,3.0076030600e-01,0.0000000000e+00,-1.5926580511e-02,2.6328692579e-01,0.0000000000e+00,2.4570230098e-21,4.0312140996e-02,5.2734626500e-01,1.4161985017e-02,5.0000000000e+00
1,1,70,0.0000000000e+00,8.6008944459e-04,5.3252106125e-03,3.4383049115e-03,0.0000000000e+00,9.7123545487e-02,5.6983684737e+01,3.0783430372e+93,1.7293784967e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.8605893082e+01,2.2677746010e+00,5.5016856000e-02,3.3985935700e-01,1.7043276000e-01,2.2679000004e-05,0.0000000000e+00,2.9957279800e-01,0.0000000000e+00,-1.5980501572e-02,2.6241537706e-01,0.0000000000e+00,1.8163581030e-21,4.1124918864e-02,5.2561919961e-01,1.3902632315e-02,5.0000000000e+00
1,1,80,0.0000000000e+00,5.3507732259e-04,3.4619818020e-03,1.9333693155e-03,0.0000000000e+00,6.0411225938e-02,6.8676676242e+01,3.0783430372e+93,1.7294307204e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.0863564578e+01,2.2575569510e+00,5.4856171000e-02,3.3529815100e-01,1.6357314700e-01,2.1561999993e-05,0.0000000000e+00,2.9914907400e-01,0.0000000000e+00,-1.5955887344e-02,2.6109637536e-01,0.0000000000e+00,1.0496212659e-21,4.2216592007e-02,5.2298694407e-01,1.3721756295e-02,5.0000000000e+00
1,1,90,0.0000000000e+00,2.8551933683e-04,2.2214202089e-03,1.0738655762e-03,0.0000000000e+00,3.2047463214e-02,7.3643642371e+01,3.0783430372e+93,1.7294803670e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.3125420194e+01,2.2617280000e+00,5.5840383000e-02,3.3702619400e-01,1.6064110000e-01,2.0279000001e-05,0.0000000000e+00,2.9981971600e-01,0.0000000000e+00,-1.5958333859e-02,2.6066800280e-01,0.0000000000e+00,3.4759082683e-21,4.3037293245e-02,5.2213388558e-01,1.3642211627e-02,5.0000000000e+00
1,1,100,0.0000000000e+00,2.0142350022e-04,1.8572196403e-03,9.5665819672e-04,0.0000000000e+00,2.2547631321e-02,7.3489443819e+01,3.0783430372e+93,1.7295276853e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.5378902030e+01,2.2533500290e+00,5.5065244000e-02,3.3620366400e-01,1.5609200100e-01,2.1202000013e-05,0.0000000000e+00,2.9953479500e-01,0.0000000000e+00,-1.6019008214e-02,2.6095365789e-01,0.0000000000e+00,2.6426885805e-21,4.3674643386e-02,5.2271359799e-01,1.3571117650e-02,5.0000000000e+00
