step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,3.3071497976e+00,1.9417965059e+01,2.5476628443e+01,0.0000000000e+00,2.9608175741e+02,2.2545333494e+01,3.0783430372e+93,1.7251829722e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.9474568660e+00,1.4408269300e+00,5.8069524000e-02,3.9880596300e-01,3.6840248200e-01,1.6269000000e-05,0.0000000000e+00,1.7988862000e-01,0.0000000000e+00,-5.4531756512e-02,6.7462729906e-01,0.0000000000e+00,-1.0464759607e-20,2.5838556858e-02,1.3315075769e+00,2.4386552275e-01,1.5000000000e+01
1,1,20,0.0000000000e+00,1.5891156372e+00,7.6425139396e+00,6.7879534700e+00,0.0000000000e+00,1.5690554818e+02,1.5621663109e+01,3.0783430372e+93,1.7295909372e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.2008438010e+00,1.2531681120e+00,5.6586961000e-02,3.4935255800e-01,2.1930134800e-01,1.6255000001e-05,0.0000000000e+00,1.7829627600e-01,0.0000000000e+00,-9.9769728259e-02,7.1200880789e-01,0.0000000000e+00,-1.0635745370e-21,3.3033490737e-02,1.4271400038e+00,1.7582256511e-01,1.5000000000e+01
1,1,30,0.0000000000e+00,8.8543683775e-01,3.7206998243e+00,3.1573948252e+00,0.0000000000e+00,9.6410908732e+01,1.9543379252e+01,3.0783430372e+93,1.7299950158e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.4325688860e+00,1.2315874490e+00,5.5526370000e-02,3.4799957200e-01,2.0239048100e-01,1.7831999998e-05,0.0000000000e+00,1.7822642800e-01,0.0000000000e+00,-1.0894290415e-01,7.7540046676e-01,0.0000000000e+00,3.6765379414e-21,4.2663318149e-02,1.5543516700e+00,1.9091528733e-01,1.5000000000e+01
1,1,40,0.0000000000e+00,4.5190793629e-01,2.6297143003e+00,2.0337270497e+00,0.0000000000e+00,5.2361111343e+01,7.8958738610e+01,3.0783430372e+93,1.7303503702e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,6.6982718530e+00,1.2655763290e+00,5.5656888000e-02,3.5824239400e-01,2.3084338200e-01,1.5026000001e-05,0.0000000000e+00,1.7819062800e-01,0.0000000000e+00,-9.9310833023e-02,6.8773998890e-01,0.0000000000e+00,5.0765823772e-21,4.8081715464e-02,1.3800187041e+00,1.6414661752e-01,1.5000000000e+01
1,1,50,0.0000000000e+00,2.7164074077e-01,2.1053653848e+00,1.7235636110e+00,0.0000000000e+00,3.1828438940e+01,2.9000844141e+02,3.0783430372e+93,1.7353051999e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,7.9299598100e+00,1.2315407450e+00,5.4561393000e-02,3.5102812600e-01,2.0095356300e-01,1.4980000000e-05,0.0000000000e+00,1.7900497000e-01,0.0000000000e+00,-8.3368355947e-02,3.6792733452e-01,0.0000000000e+00,1.3177235701e-20,4.8419263612e-02,7.5393566578e-01,2.9397906567e-02,1.5000000000e+01
1,1,60,0.0000000000e+00,5.4142970492e-01,4.0347501134e+00,3.6337163795e+00,0.0000000000e+00,5.9602699763e+01,1.5048341730e+03,3.0783430372e+93,1.7293684731e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,9.2185678460e+00,1.2884858590e+00,5.4737872000e-02,3.4653304000e-01,2.1821574900e-01,1.5411999996e-05,0.0000000000e+00,1.7842531300e-01,0.0000000000e+00,-4.0296680435e-02,3.1397375310e-01,0.0000000000e+00,9.8324358071e-21,4.5620374170e-02,6.2740981050e-01,8.4677565239e-02,1.5000000000e+01
1,1,70,0.0000000000e+00,5.5732063899e-01,3.7092125994e+00,3.3909486457e+00,0.0000000000e+00,6.1390816378e+01,2.3436043748e+03,3.0783430372e+93,1.7300024849e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.0457444492e+01,1.2387403580e+00,5.6131327000e-02,3.4273250600e-01,1.9955326400e-01,1.8071000005e-05,0.0000000000e+00,1.7831167900e-01,0.0000000000e+00,-7.4046594774e-02,4.3701530108e-01,0.0000000000e+00,1.3375635948e-20,4.2012344184e-02,8.8257806950e-01,8.3168729361e-02,1.5000000000e+01
1,1,80,0.0000000000e+00,3.5062136583e-01,2.1843518708e+00,1.8980669033e+00,0.0000000000e+00,3.8800502511e+01,2.3742493916e+03,3.0783430372e+93,1.7294970681e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.1700900283e+01,1.2433341490e+00,5.4613511000e-02,3.4423843000e-01,2.0718578500e-01,1.8130000001e-05,0.0000000000e+00,1.7829059800e-01,0.0000000000e+00,-9.3227532364e-02,5.7126635276e-01,0.0000000000e+00,1.1905298664e-20,3.6922074661e-02,1.1518599694e+00,1.1560746137e-01,1.5000000000e+01
1,1,90,0.0000000000e+00,1.7707458352e-01,1.1330530941e+00,9.4062339612e-01,0.0000000000e+00,1.9604505686e+01,1.2649213987e+03,3.0783430372e+93,1.7296049954e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.2982532402e+01,1.2815023150e+00,5.4791069000e-02,3.5780747800e-01,2.4592202600e-01,1.6225000003e-05,0.0000000000e+00,1.7808386500e-01,0.0000000000e+00,-1.1383556501e-01,6.5619245144e-01,0.0000000000e+00,1.4228204803e-20,3.7751648100e-02,1.3265920962e+00,1.1975678297e-01,1.5000000000e+01
1,1,100,0.0000000000e+00,8.8802394322e-02,6.0141097939e-01,4.7784540607e-01,0.0000000000e+00,9.8865720614e+00,1.1943970806e+03,3.0783430372e+93,1.7298380319e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.4235422121e+01,1.2527683350e+00,5.5851486000e-02,3.4985495900e-01,2.1082636000e-01,1.8736000005e-05,0.0000000000e+00,1.7845886500e-01,0.0000000000e+00,-1.2153293541e-01,6.5842601329e-01,0.0000000000e+00,1.4051435351e-20,3.9009414298e-02,1.3348914585e+00,1.0604278195e-01,1.5000000000e+01
