step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,2.7757889760e+00,1.3886801900e+01,1.7620761019e+01,0.0000000000e+00,2.7918861276e+02,1.8603118722e+01,3.0783430372e+93,1.7279000700e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.8720557140e+00,1.3784751610e+00,6.0474858000e-02,3.6842202600e-01,2.4635677900e-01,1.5525000000e-05,0.0000000000e+00,1.9003620000e-01,0.0000000000e+00,-5.8369951741e-02,7.2405873205e-01,0.0000000000e+00,-4.3659651683e-21,2.5463039046e-02,1.4289885684e+00,2.6203829152e-01,1.5000000000e+01
1,1,20,0.0000000000e+00,1.2658591065e+00,5.7550744765e+00,4.6582622585e+00,0.0000000000e+00,1.3564090416e+02,1.2685702651e+01,3.0783430372e+93,1.7297961386e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.1236234040e+00,1.2513540020e+00,5.5722584000e-02,3.4224154000e-01,2.0315614600e-01,1.4901000001e-05,0.0000000000e+00,1.8219813900e-01,0.0000000000e+00,-1.0069067473e-01,7.0510652864e-01,0.0000000000e+00,-1.3543989048e-21,3.3125718017e-02,1.4142825412e+00,1.7047055049e-01,1.5000000000e+01
1,1,30,0.0000000000e+00,6.0646600267e-01,3.1752193139e+00,2.4311057376e+00,0.0000000000e+00,7.1956298299e+01,1.9740518383e+01,3.0783430372e+93,1.7303029668e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.3647551760e+00,1.2410044050e+00,5.5906571000e-02,3.4194913900e-01,1.9608133200e-01,1.4907999997e-05,0.0000000000e+00,1.8079697000e-01,0.0000000000e+00,-1.0587007512e-01,7.7643564472e-01,0.0000000000e+00,2.2822664367e-21,4.3067920498e-02,1.5547608669e+00,1.9738738472e-01,1.5000000000e+01
1,1,40,0.0000000000e+00,2.8868854230e-01,1.9830742616e+00,1.4447513242e+00,0.0000000000e+00,3.2862607419e+01,8.2260632802e+01,3.0783430372e+93,1.7300438195e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,6.6262551660e+00,1.2613762110e+00,5.7855131000e-02,3.4304391600e-01,2.0644830000e-01,1.4737000001e-05,0.0000000000e+00,1.8169228500e-01,0.0000000000e+00,-9.0643853877e-02,7.4355705355e-01,0.0000000000e+00,8.3855480311e-21,4.8328106264e-02,1.4833626341e+00,2.0978297425e-01,1.5000000000e+01
1,1,50,0.0000000000e+00,3.4067754924e-01,2.6167448571e+00,2.1065394105e+00,0.0000000000e+00,3.6240690437e+01,4.1349392967e+02,3.0783430372e+93,1.7337219029e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,7.8618235930e+00,1.2354277900e+00,5.4085348000e-02,3.4152119100e-01,1.8601008100e-01,1.5792000001e-05,0.0000000000e+00,1.8169265500e-01,0.0000000000e+00,-7.4393436063e-02,2.1281074563e-02,0.0000000000e+00,1.0351139621e-20,4.8782009599e-02,7.9620755231e-02,-1.3270118760e-01,1.5000000000e+01
1,1,60,0.0000000000e+00,6.6756309873e-01,4.6114116258e+00,4.2073448455e+00,0.0000000000e+00,7.4934270003e+01,1.6816312640e+03,3.0783430372e+93,1.7303106533e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,9.1469913180e+00,1.2850525460e+00,5.4741592000e-02,3.4241818800e-01,1.9592084100e-01,1.5607000000e-05,0.0000000000e+00,1.8124134900e-01,0.0000000000e+00,-3.8193760419e-02,3.4228698572e-01,0.0000000000e+00,1.7342324868e-20,4.6127625539e-02,6.8101822423e-01,1.0339610241e-01,1.5000000000e+01
1,1,70,0.0000000000e+00,4.2586833560e-01,2.6785296107e+00,2.2052754492e+00,0.0000000000e+00,4.7600536347e+01,2.0361645411e+03,3.0783430372e+93,1.7296043624e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.0403251417e+01,1.2561214750e+00,5.7574077000e-02,3.4216228800e-01,2.0040540100e-01,1.6270000001e-05,0.0000000000e+00,1.8104423000e-01,0.0000000000e+00,-7.8673535131e-02,4.9778204452e-01,0.0000000000e+00,7.8845280984e-21,4.0203026464e-02,1.0023654838e+00,1.0568534800e-01,1.5000000000e+01
1,1,80,0.0000000000e+00,1.7264447565e-01,1.1190673892e+00,7.9081368970e-01,0.0000000000e+00,1.9370228407e+01,1.4894127385e+03,3.0783430372e+93,1.7295532352e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.1650389138e+01,1.2470155150e+00,5.4421446000e-02,3.4032478600e-01,1.9469081700e-01,1.4724000001e-05,0.0000000000e+00,1.8122437800e-01,0.0000000000e+00,-9.6626875761e-02,6.0814055728e-01,0.0000000000e+00,1.0391731931e-20,3.5943201629e-02,1.2248550920e+00,1.2812792703e-01,1.5000000000e+01
1,1,90,0.0000000000e+00,7.3067969123e-02,4.9669904320e-01,2.9121848035e-01,0.0000000000e+00,8.1627644892e+00,1.2854851216e+03,3.0783430372e+93,1.7297862136e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.2891417761e+01,1.2408923800e+00,5.4575026000e-02,3.4839937700e-01,1.8897725900e-01,1.2969999995e-05,0.0000000000e+00,1.8121927100e-01,0.0000000000e+00,-1.1072457450e-01,6.5414091255e-01,0.0000000000e+00,1.1526693685e-20,3.9097023381e-02,1.3210184602e+00,1.2470480048e-01,1.5000000000e+01
1,1,100,0.0000000000e+00,4.0402061069e-02,2.8307240990e-01,1.4756581970e-01,0.0000000000e+00,4.5154032165e+00,1.5563590758e+03,3.0783430372e+93,1.7299061530e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.4147599914e+01,1.2560602780e+00,5.8271686000e-02,3.4415050800e-01,1.9958207800e-01,1.5960000001e-05,0.0000000000e+00,1.8132344400e-01,0.0000000000e+00,-1.0914699200e-01,6.6515086611e-01,0.0000000000e+00,1.5658896452e-20,3.9701353836e-02,1.3414714404e+00,1.3345162716e-01,1.5000000000e+01
