step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,2.7758019708e+00,1.3886760384e+01,1.7621143772e+01,0.0000000000e+00,2.7919039684e+02,1.8603167899e+01,3.0783430372e+93,1.7278772424e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.9618260030e+00,1.4050058460e+00,5.8821699000e-02,3.7447169800e-01,3.1723108200e-01,1.4074000000e-05,0.0000000000e+00,1.8081724500e-01,0.0000000000e+00,-5.8281037984e-02,7.2408864537e-01,0.0000000000e+00,-6.4840107328e-21,2.5460527522e-02,1.4290003314e+00,2.6222554398e-01,1.5000000000e+01
1,1,20,0.0000000000e+00,1.2657758937e+00,5.7548636861e+00,4.6580873867e+00,0.0000000000e+00,1.3563221724e+02,1.2685358210e+01,3.0783430372e+93,1.7297961911e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.2305570290e+00,1.2685479740e+00,5.7180262000e-02,3.4166386500e-01,2.1717089100e-01,1.4602999999e-05,0.0000000000e+00,1.8206254600e-01,0.0000000000e+00,-1.0066370646e-01,7.0511807734e-01,0.0000000000e+00,-9.3447486957e-22,3.3124648956e-02,1.4142908917e+00,1.7052862725e-01,1.5000000000e+01
1,1,30,0.0000000000e+00,6.0642533792e-01,3.1749784540e+00,2.4310030083e+00,0.0000000000e+00,7.1951505255e+01,1.9735134920e+01,3.0783430372e+93,1.7303028907e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.4805057550e+00,1.2498223740e+00,5.5284137000e-02,3.3953265200e-01,2.0228367900e-01,1.2770000000e-05,0.0000000000e+00,1.8059383500e-01,0.0000000000e+00,-1.0585262606e-01,7.7644864799e-01,0.0000000000e+00,3.7367299620e-21,4.3075161097e-02,1.5547769550e+00,1.9742782471e-01,1.5000000000e+01
1,1,40,0.0000000000e+00,2.8866270714e-01,1.9829112880e+00,1.4447076351e+00,0.0000000000e+00,3.2859779834e+01,8.2225464868e+01,3.0783430372e+93,1.7300436796e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,6.7458065030e+00,1.2651844180e+00,5.8486333000e-02,3.4081209500e-01,2.1441592700e-01,1.3722000000e-05,0.0000000000e+00,1.8062070700e-01,0.0000000000e+00,-9.0636909449e-02,7.4352344701e-01,0.0000000000e+00,4.5468725784e-21,4.8344913313e-02,1.4832941166e+00,2.0977899383e-01,1.5000000000e+01
1,1,50,0.0000000000e+00,3.4052341235e-01,2.6152308678e+00,2.1053997999e+00,0.0000000000e+00,3.6222501769e+01,4.1298418887e+02,3.0783430372e+93,1.7337394964e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,7.9895264030e+00,1.2435778870e+00,5.4854676000e-02,3.3767873700e-01,1.9830816000e-01,1.4358000001e-05,0.0000000000e+00,1.8013097900e-01,0.0000000000e+00,-7.4403059191e-02,2.1620013349e-02,0.0000000000e+00,8.5482476168e-21,4.8802360234e-02,8.0280515981e-02,-1.3254433044e-01,1.5000000000e+01
1,1,60,0.0000000000e+00,6.6753351844e-01,4.6111018771e+00,4.2068468151e+00,0.0000000000e+00,7.4930155194e+01,1.6816076358e+03,3.0783430372e+93,1.7303091180e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,9.2942051680e+00,1.3045594210e+00,5.7117158000e-02,3.3984951900e-01,2.1513582100e-01,1.3659000002e-05,0.0000000000e+00,1.8025875300e-01,0.0000000000e+00,-3.8162928362e-02,3.4231626287e-01,0.0000000000e+00,7.9450514497e-21,4.6165424698e-02,6.8105882349e-01,1.0347082034e-01,1.5000000000e+01
1,1,70,0.0000000000e+00,4.2611063738e-01,2.6800949145e+00,2.2067146463e+00,0.0000000000e+00,4.7627929639e+01,2.0360577487e+03,3.0783430372e+93,1.7296095344e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.0549665044e+01,1.2553303720e+00,5.4866857000e-02,3.4006650200e-01,2.0170187800e-01,1.6092999997e-05,0.0000000000e+00,1.8047466900e-01,0.0000000000e+00,-7.8645184805e-02,4.9761602114e-01,0.0000000000e+00,1.2211108719e-20,4.0220422599e-02,1.0020300761e+00,1.0565417661e-01,1.5000000000e+01
1,1,80,0.0000000000e+00,1.7279134604e-01,1.1200944512e+00,7.9149228195e-01,0.0000000000e+00,1.9386217686e+01,1.4896183384e+03,3.0783430372e+93,1.7295561149e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.1804547831e+01,1.2547645140e+00,5.4974696000e-02,3.3963393900e-01,2.0360231200e-01,1.5537999998e-05,0.0000000000e+00,1.8007853100e-01,0.0000000000e+00,-9.6596242711e-02,6.0801216525e-01,0.0000000000e+00,6.9067041324e-21,3.5958780340e-02,1.2245912008e+00,1.2812064493e-01,1.5000000000e+01
1,1,90,0.0000000000e+00,7.3123960630e-02,4.9707746115e-01,2.9146745048e-01,0.0000000000e+00,8.1688180283e+00,1.2826937503e+03,3.0783430372e+93,1.7297886962e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.3049982827e+01,1.2453017840e+00,5.4977923000e-02,3.3852933300e-01,1.8631857500e-01,1.5052000000e-05,0.0000000000e+00,1.8133891400e-01,0.0000000000e+00,-1.1071135596e-01,6.5402452224e-01,0.0000000000e+00,9.9313260404e-21,3.9098211183e-02,1.3207867690e+00,1.2467008866e-01,1.5000000000e+01
1,1,100,0.0000000000e+00,4.0401323770e-02,2.8313018132e-01,1.4749144171e-01,0.0000000000e+00,4.5152025157e+00,1.5498843247e+03,3.0783430372e+93,1.7299092017e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.4311596245e+01,1.2614886520e+00,5.7230245000e-02,3.3888741400e-01,2.0142695100e-01,1.4854999996e-05,0.0000000000e+00,1.8069346700e-01,0.0000000000e+00,-1.0915434338e-01,6.6472037241e-01,0.0000000000e+00,1.6014979435e-20,3.9710991223e-02,1.3406435958e+00,1.3321458544e-01,1.5000000000e+01
