step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,4.8571799506e+00,2.6197680003e+01,3.8420496588e+01,0.0000000000e+00,5.3783896711e+02,2.8636077772e+01,3.0783430372e+93,1.7349555171e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.7169368040e+00,1.1430515310e+00,5.9069230000e-02,3.9781660300e-01,1.4175478800e-01,1.7438000000e-05,0.0000000000e+00,1.5396826200e-01,0.0000000000e+00,6.1809346322e-03,5.3001815271e-01,0.0000000000e+00,-4.8659246109e-21,1.5091414925e-02,1.0207169570e+00,2.8629823313e-01,1.5000000000e+01
1,1,20,0.0000000000e+00,2.5258505383e+00,1.2508771320e+01,1.3710324088e+01,0.0000000000e+00,2.7648827009e+02,2.0536689060e+01,3.0783430372e+93,1.7297169542e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.7624709720e+00,1.0453602850e+00,5.4344348000e-02,3.7943917200e-01,1.8476002600e-01,1.5707000001e-05,0.0000000000e+00,1.3704995700e-01,0.0000000000e+00,-9.6449631112e-02,7.7427002732e-01,0.0000000000e+00,-6.4218306599e-21,1.9240352798e-02,1.5457008347e+00,2.1446527899e-01,1.5000000000e+01
1,1,30,0.0000000000e+00,1.5996457928e+00,8.0095819356e+00,6.9568275918e+00,0.0000000000e+00,1.7442366063e+02,1.8611739447e+01,3.0783430372e+93,1.7286710119e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.8161002460e+00,1.0534970090e+00,5.6575277000e-02,3.7957413700e-01,1.8823393200e-01,1.5643000001e-05,0.0000000000e+00,1.3902796800e-01,0.0000000000e+00,-1.1560408387e-01,7.6713654121e-01,0.0000000000e+00,-6.1456838626e-21,2.8440556441e-02,1.5418350721e+00,1.7376915365e-01,1.5000000000e+01
1,1,40,0.0000000000e+00,1.0953831884e+00,5.0961763660e+00,4.5776210877e+00,0.0000000000e+00,1.2111620349e+02,2.6370462436e+01,3.0783430372e+93,1.7286061807e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.8680037330e+00,1.0517595590e+00,5.6362356000e-02,3.7891037100e-01,1.8143522000e-01,1.3921999999e-05,0.0000000000e+00,1.3790956500e-01,0.0000000000e+00,-1.0988364786e-01,7.9587237058e-01,0.0000000000e+00,1.3490435015e-21,3.8993098920e-02,1.5943873160e+00,1.9969494724e-01,1.5000000000e+01
1,1,50,0.0000000000e+00,7.7113041635e-01,3.6725717496e+00,3.3205396471e+00,0.0000000000e+00,8.5908770091e+01,6.9613512032e+01,3.0783430372e+93,1.7295647367e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,6.9012587490e+00,1.0331170490e+00,5.4184079000e-02,3.7451120900e-01,1.7147455300e-01,1.3225000000e-05,0.0000000000e+00,1.3710017700e-01,0.0000000000e+00,-1.0405826520e-01,6.9637608941e-01,0.0000000000e+00,7.6268565988e-21,4.6220413376e-02,1.3991598208e+00,1.5944565739e-01,1.5000000000e+01
1,1,60,0.0000000000e+00,5.4121289849e-01,2.6241906847e+00,2.4262100340e+00,0.0000000000e+00,6.0228831666e+01,1.8078668173e+02,3.0783430372e+93,1.7315939575e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,7.9989345580e+00,1.0975457710e+00,5.4007458000e-02,3.7956296200e-01,1.8838780300e-01,1.3684000001e-05,0.0000000000e+00,1.3752662000e-01,0.0000000000e+00,-8.1491946050e-02,6.0664493118e-01,0.0000000000e+00,1.0113880168e-20,4.8327863211e-02,1.2141313482e+00,1.5659217296e-01,1.5000000000e+01
1,1,70,0.0000000000e+00,7.6709299041e-01,4.0739401771e+00,3.8583862352e+00,0.0000000000e+00,8.5684580444e+01,6.5390207003e+02,3.0783430372e+93,1.7294795526e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,9.0290430360e+00,1.0299830190e+00,5.3602455000e-02,3.7370876500e-01,1.7010948000e-01,1.4963000003e-05,0.0000000000e+00,1.3728159200e-01,0.0000000000e+00,-5.8196184351e-02,6.6080895251e-02,0.0000000000e+00,2.0448259841e-20,4.7984688256e-02,1.5778304842e-01,-7.8220406496e-02,1.5000000000e+01
1,1,80,0.0000000000e+00,1.0328341246e+00,5.5318860341e+00,5.4556463116e+00,0.0000000000e+00,1.1587802616e+02,1.6455322085e+03,3.0783430372e+93,1.7298380214e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.0078944070e+01,1.0497779470e+00,5.7011398000e-02,3.7647145000e-01,1.7514652800e-01,2.0993000000e-05,0.0000000000e+00,1.3810363400e-01,0.0000000000e+00,-4.2746337305e-02,3.6770568475e-01,0.0000000000e+00,1.4470264776e-20,4.5339047826e-02,7.3247996716e-01,1.0775888605e-01,1.5000000000e+01
1,1,90,0.0000000000e+00,9.4557550230e-01,4.7130159903e+00,4.5739703267e+00,0.0000000000e+00,1.0566202171e+02,2.3160844546e+03,3.0783430372e+93,1.7293203640e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.1116662523e+01,1.0375580440e+00,5.3159065000e-02,3.7553155100e-01,1.6233693700e-01,1.7394000000e-05,0.0000000000e+00,1.3833939600e-01,0.0000000000e+00,-7.2556190417e-02,4.0924169442e-01,0.0000000000e+00,1.4013292245e-20,4.0994669697e-02,8.2815209150e-01,7.1671292767e-02,1.5000000000e+01
1,1,100,0.0000000000e+00,7.2099443989e-01,3.2997477772e+00,3.1728251415e+00,0.0000000000e+00,8.0053475393e+01,2.6338696716e+03,3.0783430372e+93,1.7290437114e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.2152330500e+01,1.0355388780e+00,5.3696352000e-02,3.7523237500e-01,1.6867157700e-01,1.5825999993e-05,0.0000000000e+00,1.3705387000e-01,0.0000000000e+00,-8.6471365019e-02,5.5573526394e-01,0.0000000000e+00,1.0681353552e-20,3.6676943338e-02,1.1183589603e+00,1.2061989127e-01,1.5000000000e+01
