step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,2.0561308447e+01,8.6541881554e+01,1.1851250822e+02,0.0000000000e+00,2.5272381221e+03,7.4210555455e+01,3.0783430372e+93,1.7331713932e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.9109339470e+00,3.8053329400e-01,3.2900318000e-02,1.7898228700e-01,7.5389130000e-02,6.4040000001e-06,0.0000000000e+00,6.0983888000e-02,0.0000000000e+00,2.6302120808e-01,-4.5571912387e-02,0.0000000000e+00,-1.0929482978e-20,2.3912312576e-02,-2.2418797009e-01,4.8452819780e-01,1.5000000000e+01
1,1,20,0.0000000000e+00,6.4363946977e+00,5.3839543471e+01,9.7484361181e+01,0.0000000000e+00,7.0299928458e+02,3.8503536819e+01,3.0783430372e+93,1.7220191691e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.2238410930e+00,3.1272672800e-01,2.8648127000e-02,1.7379159500e-01,5.7370266000e-02,6.7499999998e-06,0.0000000000e+00,6.1027436000e-02,0.0000000000e+00,-8.3891081511e-02,-7.1850602706e-02,0.0000000000e+00,-9.2472066959e-21,1.5177787328e-02,-9.5379486358e-02,-1.9925773322e-01,1.5000000000e+01
1,1,30,0.0000000000e+00,7.7810436940e+00,3.1071321180e+01,4.0289027721e+01,0.0000000000e+00,7.9688984346e+02,3.9240827090e+01,3.0783430372e+93,1.7329477051e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.5312391150e+00,3.0728106700e-01,2.7683772000e-02,1.7234190000e-01,5.1734920000e-02,6.9989999996e-06,0.0000000000e+00,6.1237204000e-02,0.0000000000e+00,1.2729686786e-01,2.0244178339e-01,0.0000000000e+00,-1.6711351474e-20,1.4173409702e-02,3.2519378623e-01,3.5071024268e-01,1.5000000000e+01
1,1,40,0.0000000000e+00,4.2011934524e+00,2.6640008163e+01,3.3519496228e+01,0.0000000000e+00,5.1147920462e+02,3.3371411045e+01,3.0783430372e+93,1.7190351627e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.8447117350e+00,3.1336060700e-01,2.8023466000e-02,1.7390669400e-01,5.4425855000e-02,6.2490000001e-06,0.0000000000e+00,6.1948740000e-02,0.0000000000e+00,-6.4800693825e-02,4.7158504996e-01,0.0000000000e+00,-1.2124065521e-20,1.4316362478e-02,9.4457566549e-01,1.1892505718e-01,1.5000000000e+01
1,1,50,0.0000000000e+00,2.6388039774e+00,1.9568713979e+01,3.3457860761e+01,0.0000000000e+00,2.6521374326e+02,3.0810216182e+01,3.0783430372e+93,1.7349174057e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.1530508240e+00,3.0822226800e-01,2.7875905000e-02,1.7284866100e-01,5.0836846000e-02,5.0360000006e-06,0.0000000000e+00,6.1576798000e-02,0.0000000000e+00,2.4361390684e-02,4.5845154768e-01,0.0000000000e+00,-3.0098731135e-20,1.4852294133e-02,8.7304999627e-01,2.8437457645e-01,1.5000000000e+01
1,1,60,0.0000000000e+00,2.1002151083e+00,1.8840154162e+01,2.3817506715e+01,0.0000000000e+00,2.0413397814e+02,2.9823534564e+01,3.0783430372e+93,1.7167509724e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.4986349660e+00,3.4547251200e-01,2.7534496000e-02,1.7174587500e-01,5.2818089000e-02,5.5160000012e-06,0.0000000000e+00,6.0884021000e-02,0.0000000000e+00,-3.7596899318e-02,5.8673423865e-01,0.0000000000e+00,-6.7308826505e-21,1.7572402139e-02,1.1529450957e+00,2.3108435867e-01,1.5000000000e+01
1,1,70,0.0000000000e+00,2.2164145227e+00,1.6527197328e+01,1.8928000199e+01,0.0000000000e+00,2.2103671953e+02,2.9265105825e+01,3.0783430372e+93,1.7261935706e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.8053490690e+00,3.0659172200e-01,2.7983113000e-02,1.7207956500e-01,5.2023458000e-02,6.8740000003e-06,0.0000000000e+00,6.0947587000e-02,0.0000000000e+00,-5.9263611422e-02,7.5513711799e-01,0.0000000000e+00,-1.4759696494e-20,1.9961642130e-02,1.4894899919e+00,2.7639922993e-01,1.5000000000e+01
1,1,80,0.0000000000e+00,1.5554693843e+00,1.6078659798e+01,1.6209332144e+01,0.0000000000e+00,1.3841639948e+02,2.7215491582e+01,3.0783430372e+93,1.7257383703e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.1304928980e+00,3.2502783900e-01,3.0229076000e-02,1.7558563500e-01,6.8928427000e-02,5.8380000008e-06,0.0000000000e+00,6.1561356000e-02,0.0000000000e+00,-5.5192396786e-02,6.7685526427e-01,0.0000000000e+00,-1.4711519301e-20,2.2207671409e-02,1.3361536477e+00,2.4374254340e-01,1.5000000000e+01
1,1,90,0.0000000000e+00,1.5304760770e+00,1.4438734640e+01,1.3752681282e+01,0.0000000000e+00,1.6093974199e+02,2.5654178029e+01,3.0783430372e+93,1.7247173206e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.4413766920e+00,3.1075696900e-01,2.9673262000e-02,1.7263555100e-01,5.0914123000e-02,5.5049999990e-06,0.0000000000e+00,6.2810698000e-02,0.0000000000e+00,-1.1190868362e-01,7.9432342957e-01,0.0000000000e+00,-4.8429450318e-21,2.6061013398e-02,1.5924432274e+00,1.9498108770e-01,1.5000000000e+01
1,1,100,0.0000000000e+00,1.2724519782e+00,1.3343070771e+01,1.1996857687e+01,0.0000000000e+00,1.1268092746e+02,2.4904165773e+01,3.0783430372e+93,1.7301515166e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.7472385200e+00,3.0571718300e-01,2.7582084000e-02,1.7176684200e-01,5.1326268000e-02,6.2609999985e-06,0.0000000000e+00,6.0989177000e-02,0.0000000000e+00,-9.4490126821e-02,7.5109671796e-01,0.0000000000e+00,-1.2229475169e-20,2.9664497110e-02,1.4999191246e+00,2.0625536299e-01,1.5000000000e+01
