step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,3.6189654336e+00,2.6348823504e+01,4.4163201379e+01,0.0000000000e+00,2.7189686326e+02,1.4511691208e+01,3.0783430372e+93,1.7271345519e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.9986162270e+00,5.1631391900e-01,2.9879219000e-02,1.9943056600e-01,1.2755906000e-01,8.1989999998e-06,0.0000000000e+00,6.1323787000e-02,0.0000000000e+00,3.9755998688e-02,7.5251479787e-02,0.0000000000e+00,-1.5447887413e-20,4.6555248974e-02,1.4300032319e-01,9.2326627448e-02,5.0000000000e+00
1,1,20,0.0000000000e+00,2.3461625260e+00,1.2811930424e+01,1.6957865983e+01,0.0000000000e+00,3.0517250923e+02,1.2498864305e+01,3.0783430372e+93,1.7329371424e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.4469891210e+00,4.4819674400e-01,2.7053630000e-02,1.9125898400e-01,9.9936896000e-02,5.2679999989e-06,0.0000000000e+00,6.0925883000e-02,0.0000000000e+00,1.3498398459e-01,1.2155086021e-01,0.0000000000e+00,-1.0106052666e-20,4.5596448348e-02,2.1864738611e-01,2.9012837055e-01,5.0000000000e+00
1,1,30,0.0000000000e+00,1.1241430590e+00,6.0211717405e+00,1.3128884882e+01,0.0000000000e+00,1.2588182439e+02,1.0608951118e+01,3.0783430372e+93,1.7280742445e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.8694764450e+00,4.2236292600e-01,2.8327094000e-02,1.7516056400e-01,7.2002591000e-02,7.1260000007e-06,0.0000000000e+00,6.1079246000e-02,0.0000000000e+00,-6.0506553701e-03,1.5661315686e-01,0.0000000000e+00,-3.4203981103e-21,4.4730766162e-02,3.1308909175e-01,1.5244210421e-02,5.0000000000e+00
1,1,40,0.0000000000e+00,5.2849020410e-01,5.0784739646e+00,9.1519601432e+00,0.0000000000e+00,4.9202489940e+01,8.6729929065e+00,3.0783430372e+93,1.7295091934e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.2820456420e+00,4.1243867900e-01,2.7086019000e-02,1.7242791400e-01,6.4880314000e-02,8.3609999995e-06,0.0000000000e+00,6.0784395000e-02,0.0000000000e+00,2.3694484662e-02,2.2775394824e-01,0.0000000000e+00,-6.0078080857e-21,4.5246765866e-02,4.4964433059e-01,8.6908769033e-02,5.0000000000e+00
1,1,50,0.0000000000e+00,4.6436451186e-01,4.6560354677e+00,5.8899908043e+00,0.0000000000e+00,4.8229035610e+01,8.2192690521e+00,3.0783430372e+93,1.7303198939e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.6967862480e+00,4.1461815100e-01,2.6965824000e-02,1.7452542500e-01,6.6761331000e-02,7.6000000000e-06,0.0000000000e+00,6.0763996000e-02,0.0000000000e+00,1.7837649332e-03,2.5744091859e-01,0.0000000000e+00,-1.5143030546e-20,4.5925570757e-02,5.1261162563e-01,4.8428863285e-02,5.0000000000e+00
1,1,60,0.0000000000e+00,3.4936007694e-01,4.1504220725e+00,4.3180625259e+00,0.0000000000e+00,3.4176205483e+01,7.7927720752e+00,3.0783430372e+93,1.7294061620e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.1723236610e+00,4.7541854300e-01,2.9473882000e-02,1.7874979700e-01,8.6116786000e-02,7.2560000008e-06,0.0000000000e+00,6.0563479000e-02,0.0000000000e+00,-2.9452596123e-03,2.7728322233e-01,0.0000000000e+00,-1.5838441559e-20,4.7431820412e-02,5.5296954448e-01,4.2465546366e-02,5.0000000000e+00
1,1,70,0.0000000000e+00,2.5947385008e-01,3.8019594420e+00,3.4401487130e+00,0.0000000000e+00,2.5159033910e+01,7.7005923325e+00,3.0783430372e+93,1.7300299359e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.5853977500e+00,4.1292486600e-01,2.7015835000e-02,1.7327830000e-01,6.6812506000e-02,7.1439999996e-06,0.0000000000e+00,6.0489608000e-02,0.0000000000e+00,-5.7795241705e-03,2.8049224941e-01,0.0000000000e+00,-1.2356219027e-20,4.9176468786e-02,5.5985722089e-01,3.7377957993e-02,5.0000000000e+00
1,1,80,0.0000000000e+00,2.2636732518e-01,3.3050634223e+00,2.8311316425e+00,0.0000000000e+00,2.1722423304e+01,7.2795587992e+00,3.0783430372e+93,1.7296299721e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.0014378710e+00,4.1592193900e-01,2.6977428000e-02,1.7587884900e-01,6.9541483000e-02,8.1529999996e-06,0.0000000000e+00,6.0749955000e-02,0.0000000000e+00,-1.0041372501e-02,2.7292972029e-01,0.0000000000e+00,-8.8173588540e-21,5.1149720510e-02,5.4553260718e-01,2.7568460886e-02,5.0000000000e+00
1,1,90,0.0000000000e+00,2.0925237792e-01,2.9558597218e+00,2.4796614715e+00,0.0000000000e+00,2.1574873334e+01,6.7759555221e+00,3.0783430372e+93,1.7297590373e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.4172497440e+00,4.1567795900e-01,2.7029793000e-02,1.7610040500e-01,6.8454010000e-02,6.6959999998e-06,0.0000000000e+00,6.0973166000e-02,0.0000000000e+00,-1.0137615401e-02,2.6302096176e-01,0.0000000000e+00,-4.7260398092e-22,5.3200378358e-02,5.2580727798e-01,2.5649497132e-02,5.0000000000e+00
1,1,100,0.0000000000e+00,1.8930647020e-01,2.6612336416e+00,2.1397763756e+00,0.0000000000e+00,2.1134329184e+01,6.4381112943e+00,3.0783430372e+93,1.7296276874e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.8509601430e+00,4.3359223200e-01,2.9397662000e-02,1.7568483100e-01,8.2327581000e-02,7.2239999991e-06,0.0000000000e+00,6.1911644000e-02,0.0000000000e+00,-1.0888956849e-02,2.5682294069e-01,0.0000000000e+00,-2.9878802992e-21,5.5167377760e-02,5.1358937397e-01,2.3072146140e-02,5.0000000000e+00
1,1,110,0.0000000000e+00,1.6706590787e-01,2.3314051231e+00,1.9021193025e+00,0.0000000000e+00,1.8942285779e+01,6.1505175699e+00,3.0783430372e+93,1.7296825412e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,6.3150826910e+00,4.6397996600e-01,2.6910428000e-02,1.7599074000e-01,7.0770264000e-02,6.6729999988e-06,0.0000000000e+00,6.0518429000e-02,0.0000000000e+00,-1.1306522104e-02,2.5521868881e-01,0.0000000000e+00,-2.8887135230e-21,5.7003704496e-02,5.1046586596e-01,2.1960554025e-02,5.0000000000e+00
