step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,2.3131422946e+00,9.2097039569e+00,1.4035244348e+01,0.0000000000e+00,2.7055623719e+02,1.1287959492e+01,3.0783430372e+93,1.7231482517e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.5382238940e+00,9.8170971900e-01,6.0064215000e-02,3.7003091000e-01,1.5393839900e-01,1.3088000000e-05,0.0000000000e+00,1.4507038700e-01,0.0000000000e+00,-1.1304751706e-02,4.5742162911e-02,0.0000000000e+00,-9.5941577915e-21,2.6602750783e-02,9.3106748405e-02,-1.4550083059e-02,5.0000000000e+00
1,1,20,0.0000000000e+00,6.7550751166e-01,4.2813109506e+00,4.5612890058e+00,0.0000000000e+00,7.7354327444e+01,6.9735218780e+00,3.0783430372e+93,1.7288020321e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.3985796720e+00,8.6018578300e-01,5.7091272000e-02,3.3862260400e-01,1.4362274600e-01,1.3621000001e-05,0.0000000000e+00,1.3180777200e-01,0.0000000000e+00,1.3560413146e-02,2.2496882960e-01,0.0000000000e+00,-5.1193468236e-21,3.0844149936e-02,4.4586177481e-01,6.6232274238e-02,5.0000000000e+00
1,1,30,0.0000000000e+00,3.8975774390e-01,2.5351742731e+00,1.9533669494e+00,0.0000000000e+00,3.8018978122e+01,5.1772141468e+00,3.0783430372e+93,1.7298526114e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.2761034530e+00,8.7739330100e-01,5.8733764000e-02,3.4026171800e-01,1.5765901700e-01,1.2536000001e-05,0.0000000000e+00,1.3262439200e-01,0.0000000000e+00,-1.5846239889e-02,2.8607707720e-01,0.0000000000e+00,-3.4072517098e-21,3.9461509075e-02,5.7273911672e-01,1.8294639968e-02,5.0000000000e+00
1,1,40,0.0000000000e+00,2.3999385769e-01,1.5400709831e+00,1.0682046694e+00,0.0000000000e+00,2.7447842965e+01,4.1384733103e+00,3.0783430372e+93,1.7289525520e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.1379382730e+00,8.6169620200e-01,5.5704691000e-02,3.4017038500e-01,1.4100170700e-01,1.2106000000e-05,0.0000000000e+00,1.3252889600e-01,0.0000000000e+00,-1.1049479353e-02,2.4763192157e-01,0.0000000000e+00,-4.1833949571e-21,4.8401391107e-02,4.9530526586e-01,2.1150222609e-02,5.0000000000e+00
1,1,50,0.0000000000e+00,1.3535595461e-01,1.0320539767e+00,7.0133370801e-01,0.0000000000e+00,1.2648305118e+01,3.5769972231e+00,3.0783430372e+93,1.7289075573e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,6.0132090580e+00,8.7515084600e-01,5.8459267000e-02,3.4166016700e-01,1.4320398200e-01,1.3038000002e-05,0.0000000000e+00,1.3490955200e-01,0.0000000000e+00,-1.4366331551e-02,2.5902776667e-01,0.0000000000e+00,-3.1585951307e-21,5.3931435184e-02,5.1858839223e-01,1.6528188149e-02,5.0000000000e+00
1,1,60,0.0000000000e+00,1.0832249581e-01,6.0813714969e-01,4.0562714693e-01,0.0000000000e+00,1.2154011038e+01,3.5416469965e+00,3.0783430372e+93,1.7291017392e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,6.9201274210e+00,9.0677781300e-01,5.4953811000e-02,3.3961114800e-01,1.3092997800e-01,1.5054000001e-05,0.0000000000e+00,1.3508979300e-01,0.0000000000e+00,-1.4417375290e-02,2.4336773788e-01,0.0000000000e+00,-1.6874271300e-21,5.6186033311e-02,4.8739641442e-01,1.3696766263e-02,5.0000000000e+00
1,1,70,0.0000000000e+00,5.8820013304e-02,5.1250440014e-01,3.1862246027e-01,0.0000000000e+00,5.8563758759e+00,3.8634626072e+00,3.0783430372e+93,1.7290938427e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,7.7909398030e+00,8.7068735800e-01,5.6369193000e-02,3.4391575500e-01,1.3988206700e-01,1.4604000000e-05,0.0000000000e+00,1.3513253800e-01,0.0000000000e+00,-1.4756659098e-02,2.4328874652e-01,0.0000000000e+00,6.1518062293e-22,5.6915470547e-02,4.8729817395e-01,1.3007011700e-02,5.0000000000e+00
1,1,80,0.0000000000e+00,5.4347756582e-02,2.8839251509e-01,1.9394382407e-01,0.0000000000e+00,5.9035366325e+00,4.6084270189e+00,3.0783430372e+93,1.7290086647e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,8.6461035050e+00,8.5504161200e-01,5.4794425000e-02,3.3932647100e-01,1.2907428100e-01,1.3515000003e-05,0.0000000000e+00,1.3394764000e-01,0.0000000000e+00,-1.4797163087e-02,2.5061879547e-01,0.0000000000e+00,1.1197107245e-21,5.6963707591e-02,5.0190954605e-01,1.4204023702e-02,5.0000000000e+00
1,1,90,0.0000000000e+00,2.9527767177e-02,2.5803954109e-01,1.5126166777e-01,0.0000000000e+00,3.1477670836e+00,5.3499641891e+00,3.0783430372e+93,1.7288641313e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,9.5342266170e+00,8.8798648400e-01,5.9037167000e-02,3.4490531200e-01,1.5316815000e-01,1.3392999998e-05,0.0000000000e+00,1.3587565100e-01,0.0000000000e+00,-1.5145846863e-02,2.5671513405e-01,0.0000000000e+00,1.9247832541e-21,5.6518852996e-02,5.1411660598e-01,1.4571971680e-02,5.0000000000e+00
1,1,100,0.0000000000e+00,2.5415055165e-02,1.5474678240e-01,9.1637588737e-02,0.0000000000e+00,2.6263040877e+00,6.5760615253e+00,3.0783430372e+93,1.7288470835e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.0390795422e+01,8.5642697000e-01,5.4931464000e-02,3.3881858200e-01,1.2473582200e-01,1.4867999997e-05,0.0000000000e+00,1.3500626700e-01,0.0000000000e+00,-1.5293758156e-02,2.6051452054e-01,0.0000000000e+00,2.0453795924e-21,5.5535701118e-02,5.2171224598e-01,1.4939551491e-02,5.0000000000e+00
