step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,9.4956941464e+00,4.7886206440e+01,6.6033843206e+01,0.0000000000e+00,1.2043096185e+03,3.1352873061e+01,3.0783430372e+93,1.7357638235e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.9374567210e+00,4.1123626200e-01,3.1542161000e-02,1.9547068100e-01,6.5748296000e-02,6.0890000000e-06,0.0000000000e+00,7.0090761000e-02,0.0000000000e+00,2.8756105949e-01,-1.1666384091e-01,0.0000000000e+00,-2.2285053430e-20,4.6713350133e-02,-2.8256499501e-01,5.5259775828e-01,5.0000000000e+00
1,1,20,0.0000000000e+00,5.3259441937e+00,3.2634628659e+01,5.2743425895e+01,0.0000000000e+00,4.9590902895e+02,1.9595904490e+01,3.0783430372e+93,1.7214244025e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.2771938690e+00,3.3956320700e-01,2.7194489000e-02,1.9606514400e-01,5.0362711000e-02,6.9720000009e-06,0.0000000000e+00,6.9993745000e-02,0.0000000000e+00,-8.8024742024e-02,7.2472563304e-02,0.0000000000e+00,-6.4479406456e-21,4.5016469200e-02,1.5973729018e-01,-1.6274676244e-01,5.0000000000e+00
1,1,30,0.0000000000e+00,6.0885898810e+00,1.8677880484e+01,2.2286136593e+01,0.0000000000e+00,6.6556255684e+02,2.2287082994e+01,3.0783430372e+93,1.7363851825e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.6138823880e+00,3.3656657600e-01,2.7225644000e-02,1.9380446000e-01,4.8976965000e-02,7.1529999999e-06,0.0000000000e+00,6.9674512000e-02,0.0000000000e+00,1.3972509525e-01,-1.2922900075e-02,0.0000000000e+00,-1.5462818687e-21,4.5157005459e-02,-5.0103137992e-02,2.7613418824e-01,5.0000000000e+00
1,1,40,0.0000000000e+00,2.7924293993e+00,1.8964341293e+01,2.3448204455e+01,0.0000000000e+00,3.6750708955e+02,1.4099441592e+01,3.0783430372e+93,1.7227435341e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.9236652040e+00,3.0966495400e-01,2.7639116000e-02,1.7308759400e-01,5.5854917000e-02,7.0609999998e-06,0.0000000000e+00,6.0935035000e-02,0.0000000000e+00,-4.5908783633e-02,2.1566019438e-01,0.0000000000e+00,-4.8054231830e-21,4.5009201099e-02,4.3768151274e-01,-5.3876124857e-02,5.0000000000e+00
1,1,50,0.0000000000e+00,1.8974527006e+00,1.0860899584e+01,2.0865804557e+01,0.0000000000e+00,1.8330598147e+02,1.2853571886e+01,3.0783430372e+93,1.7346051555e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.2296080360e+00,3.0581533300e-01,2.7073606000e-02,1.7219493300e-01,5.1852910000e-02,6.8349999993e-06,0.0000000000e+00,6.0854917000e-02,0.0000000000e+00,3.4129451926e-02,1.7665991147e-01,0.0000000000e+00,-8.6578435442e-21,4.5860228340e-02,3.4602617888e-01,9.8793009711e-02,5.0000000000e+00
1,1,60,0.0000000000e+00,2.1777338374e+00,8.9149390534e+00,1.1040872639e+01,0.0000000000e+00,2.3589364467e+02,1.3250620489e+01,3.0783430372e+93,1.7247646298e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.5795420390e+00,3.4413958100e-01,2.7058986000e-02,1.7207984800e-01,5.2873199000e-02,5.5370000003e-06,0.0000000000e+00,6.0630883000e-02,0.0000000000e+00,1.6376166491e-02,1.3113531343e-01,0.0000000000e+00,-8.8169048054e-21,4.7354202609e-02,2.5841805404e-01,5.5486091753e-02,5.0000000000e+00
1,1,70,0.0000000000e+00,1.1785760175e+00,8.6794273666e+00,1.0251835916e+01,0.0000000000e+00,1.3603721904e+02,1.1217909255e+01,3.0783430372e+93,1.7291169510e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.8849015540e+00,3.0523330100e-01,2.7079913000e-02,1.7249105000e-01,5.0356682000e-02,7.6609999993e-06,0.0000000000e+00,6.1210502000e-02,0.0000000000e+00,-1.6539898677e-02,3.5598232770e-01,0.0000000000e+00,-1.6687916355e-20,4.8978079288e-02,7.1213850926e-01,2.9097889615e-02,5.0000000000e+00
1,1,80,0.0000000000e+00,8.5622653251e-01,6.0682012566e+00,8.0538109140e+00,0.0000000000e+00,8.2609454011e+01,1.0021767089e+01,3.0783430372e+93,1.7284831666e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.2117767150e+00,3.2675549400e-01,3.0599170000e-02,1.7794766700e-01,6.6624717000e-02,6.6979999982e-06,0.0000000000e+00,6.2936969000e-02,0.0000000000e+00,1.8473467646e-02,1.8311458508e-01,0.0000000000e+00,-9.8320599000e-21,5.0914323286e-02,3.6161542002e-01,6.8725316390e-02,5.0000000000e+00
1,1,90,0.0000000000e+00,8.6912825891e-01,5.0448499372e+00,5.4005313916e+00,0.0000000000e+00,9.4868481247e+01,9.2935024947e+00,3.0783430372e+93,1.7277645090e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.5183743060e+00,3.0644293200e-01,2.7097571000e-02,1.7307947900e-01,5.0585715000e-02,7.3739999982e-06,0.0000000000e+00,6.1225338000e-02,0.0000000000e+00,-1.3059707672e-02,3.0258173203e-01,0.0000000000e+00,-4.6534085554e-21,5.2773429303e-02,6.0513709142e-01,2.6723448110e-02,5.0000000000e+00
1,1,100,0.0000000000e+00,5.4248330722e-01,4.7023112703e+00,5.0836532197e+00,0.0000000000e+00,5.5747466364e+01,8.1747645003e+00,3.0783430372e+93,1.7301939507e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.8240332140e+00,3.0553263800e-01,2.7077703000e-02,1.7218648600e-01,4.9684861000e-02,5.6840000004e-06,0.0000000000e+00,6.1265353000e-02,0.0000000000e+00,-5.9518811680e-03,2.9716964794e-01,0.0000000000e+00,-1.6011092877e-21,5.4819655512e-02,5.9311513667e-01,3.9941617850e-02,5.0000000000e+00
