step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,3.0783370220e+00,1.6979124475e+01,2.3628106103e+01,0.0000000000e+00,3.4686140507e+02,2.7251121071e+01,3.0783430372e+93,1.7272499247e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.6623201220e+00,1.1604360230e+00,5.8095167000e-02,3.5859217100e-01,1.4624310200e-01,1.7803000001e-05,0.0000000000e+00,1.5364434300e-01,0.0000000000e+00,1.6956807449e-02,5.7286390109e-01,0.0000000000e+00,-1.0824425172e-20,2.5226591480e-02,1.0979105846e+00,3.2929421220e-01,1.5000000000e+01
1,1,20,0.0000000000e+00,1.3264759156e+00,8.9644897967e+00,7.3661364482e+00,0.0000000000e+00,1.5696143818e+02,1.6742608381e+01,3.0783430372e+93,1.7304137738e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.7408057110e+00,1.0783161560e+00,5.6154459000e-02,3.4706595300e-01,1.8172696500e-01,1.6737000001e-05,0.0000000000e+00,1.3695309500e-01,0.0000000000e+00,-1.1214922859e-01,7.3787349979e-01,0.0000000000e+00,-5.6836767343e-21,3.0583839429e-02,1.4835148525e+00,1.6529575667e-01,1.5000000000e+01
1,1,30,0.0000000000e+00,7.5496239563e-01,5.1507736765e+00,3.7081884616e+00,0.0000000000e+00,6.8864948588e+01,1.5802056382e+01,3.0783430372e+93,1.7289594219e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.8378302610e+00,1.0968920300e+00,5.9062633000e-02,3.5186140600e-01,1.9067020000e-01,1.5460999998e-05,0.0000000000e+00,1.4168053700e-01,0.0000000000e+00,-1.0134730774e-01,7.6770339014e-01,0.0000000000e+00,-2.1288589105e-21,4.0461970550e-02,1.5355502898e+00,2.0160455277e-01,1.5000000000e+01
1,1,40,0.0000000000e+00,4.9215396837e-01,2.7677857438e+00,2.0131609402e+00,0.0000000000e+00,5.1667750428e+01,3.4561296193e+01,3.0783430372e+93,1.7303225550e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.9316873910e+00,1.0937111630e+00,5.8413105000e-02,3.4645791500e-01,1.9447333200e-01,1.5178000000e-05,0.0000000000e+00,1.3668404500e-01,0.0000000000e+00,-1.0720983026e-01,7.4105019792e-01,0.0000000000e+00,4.7272593870e-21,4.8188882886e-02,1.4870949413e+00,1.7648232144e-01,1.5000000000e+01
1,1,50,0.0000000000e+00,2.8150454264e-01,1.6410178994e+00,1.2305640730e+00,0.0000000000e+00,3.2317975259e+01,9.8118536878e+01,3.0783430372e+93,1.7304153551e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,7.0141602790e+00,1.0823365690e+00,5.6084676000e-02,3.4611149800e-01,1.7014440500e-01,1.6799000000e-05,0.0000000000e+00,1.4036371100e-01,0.0000000000e+00,-8.1467097831e-02,7.5798155197e-01,0.0000000000e+00,9.3264691439e-21,5.1473653388e-02,1.5064783867e+00,2.3497777540e-01,1.5000000000e+01
1,1,60,0.0000000000e+00,2.7332727295e-01,2.4722075340e+00,2.0434828478e+00,0.0000000000e+00,3.0545244581e+01,3.7124518148e+02,3.0783430372e+93,1.7347207109e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,8.1335429290e+00,1.1192665830e+00,5.6391024000e-02,3.4358833300e-01,1.7194856600e-01,1.7582999998e-05,0.0000000000e+00,1.3765895900e-01,0.0000000000e+00,-7.4519526486e-02,2.0008569419e-02,0.0000000000e+00,1.1618764980e-20,5.1486430645e-02,7.7227733271e-02,-1.3360347273e-01,1.5000000000e+01
1,1,70,0.0000000000e+00,4.9339288249e-01,4.0619769438e+00,3.6208111199e+00,0.0000000000e+00,5.4196986519e+01,1.3744072006e+03,3.0783430372e+93,1.7299971984e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,9.3715925170e+00,1.2379352990e+00,7.1551861000e-02,3.8316190900e-01,3.3099133300e-01,1.9008000006e-05,0.0000000000e+00,1.3897515200e-01,0.0000000000e+00,-3.8506000576e-02,3.4095954564e-01,0.0000000000e+00,1.6233088953e-20,4.9419787980e-02,6.7861543431e-01,1.0210576720e-01,1.5000000000e+01
1,1,80,0.0000000000e+00,4.8400096737e-01,3.3892097317e+00,2.9428003923e+00,0.0000000000e+00,5.3685966111e+01,1.7620777375e+03,3.0783430372e+93,1.7298032139e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.0521592916e+01,1.1498568800e+00,5.9473082000e-02,3.6378651200e-01,2.2716880200e-01,1.8090999998e-05,0.0000000000e+00,1.4068182800e-01,0.0000000000e+00,-6.5784340695e-02,4.2045927185e-01,0.0000000000e+00,1.0976218470e-20,4.5286208273e-02,8.4631741964e-01,9.0560147203e-02,1.5000000000e+01
1,1,90,0.0000000000e+00,3.0790369148e-01,2.0414324003e+00,1.6535043985e+00,0.0000000000e+00,3.4431332324e+01,1.8699366933e+03,3.0783430372e+93,1.7296236667e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.1603775044e+01,1.0820630260e+00,5.4841747000e-02,3.4480304700e-01,1.8060025000e-01,1.8134999998e-05,0.0000000000e+00,1.3659605800e-01,0.0000000000e+00,-9.0118075536e-02,5.5931834298e-01,0.0000000000e+00,1.2941561491e-20,4.0150954737e-02,1.1271686137e+00,1.1542972573e-01,1.5000000000e+01
1,1,100,0.0000000000e+00,1.5032614184e-01,9.6969199419e-01,6.9295495146e-01,0.0000000000e+00,1.6689022865e+01,1.0047118599e+03,3.0783430372e+93,1.7297238359e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.2708285639e+01,1.1043949150e+00,6.0085385000e-02,3.5476215600e-01,1.8143168100e-01,1.7897000005e-05,0.0000000000e+00,1.4179203400e-01,0.0000000000e+00,-1.0732624712e-01,6.4671946769e-01,0.0000000000e+00,1.1245625925e-20,3.7673571744e-02,1.3049222260e+00,1.2742824230e-01,1.5000000000e+01
