step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,9.6936329385e+00,7.2183178029e+01,1.1928309605e+02,0.0000000000e+00,7.3796984319e+02,4.0290180480e+01,3.0783430372e+93,1.7280079311e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.9818700330e+00,5.3097304700e-01,3.0706984000e-02,1.9729047600e-01,1.2313322700e-01,8.3110000000e-06,0.0000000000e+00,6.1925280000e-02,0.0000000000e+00,3.7487950938e-02,2.0882595959e-01,0.0000000000e+00,-1.4978394796e-20,4.6511534406e-02,3.8401558380e-01,1.8051743088e-01,1.5000000000e+01
1,1,20,0.0000000000e+00,5.9679441136e+00,3.8223325651e+01,5.0136943832e+01,0.0000000000e+00,7.8538459839e+02,3.3173671861e+01,3.0783430372e+93,1.7319910156e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.4159706650e+00,4.3391984100e-01,2.6984972000e-02,1.8531778300e-01,9.2101957000e-02,9.1560000004e-06,0.0000000000e+00,5.9976096000e-02,0.0000000000e+00,1.3144699605e-01,3.4740235051e-01,0.0000000000e+00,-8.7359791570e-21,4.5736521870e-02,6.0308783294e-01,4.3376478579e-01,1.5000000000e+01
1,1,30,0.0000000000e+00,3.4613843179e+00,2.4181820943e+01,3.4432662787e+01,0.0000000000e+00,3.9694979082e+02,3.2182927625e+01,3.0783430372e+93,1.7275134280e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.8371366380e+00,4.2104592100e-01,2.8085725000e-02,1.7253088200e-01,7.7501844000e-02,6.9519999988e-06,0.0000000000e+00,6.0143689000e-02,0.0000000000e+00,-2.1208950180e-02,4.6532479209e-01,0.0000000000e+00,-6.3491650558e-21,4.4537552299e-02,9.0991702905e-01,1.9989729125e-01,1.5000000000e+01
1,1,40,0.0000000000e+00,2.2362038384e+00,1.6347384244e+01,2.6708777522e+01,0.0000000000e+00,2.3420309201e+02,2.6514051218e+01,3.0783430372e+93,1.7274907743e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.2452682240e+00,4.0799543500e-01,2.6967512000e-02,1.7184363100e-01,6.6426059000e-02,6.7600000002e-06,0.0000000000e+00,6.0179000000e-02,0.0000000000e+00,-2.1271711645e-02,6.6487838730e-01,0.0000000000e+00,-5.2881123294e-21,4.5185267926e-02,1.2954574595e+00,3.0307258733e-01,1.5000000000e+01
1,1,50,0.0000000000e+00,2.0355724557e+00,1.6288786861e+01,1.6925002973e+01,0.0000000000e+00,2.2826752509e+02,2.5834136810e+01,3.0783430372e+93,1.7295164358e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.6606816190e+00,4.1528944600e-01,2.6940540000e-02,1.7867952100e-01,7.4129886000e-02,7.4660000013e-06,0.0000000000e+00,6.0148167000e-02,0.0000000000e+00,-6.7833926363e-02,7.2474594211e-01,0.0000000000e+00,-7.4447624485e-21,4.5701855928e-02,1.4352150701e+00,2.4411102262e-01,1.5000000000e+01
1,1,60,0.0000000000e+00,1.7934745435e+00,1.3490395767e+01,1.2896832469e+01,0.0000000000e+00,1.9463899796e+02,2.4603673182e+01,3.0783430372e+93,1.7297554424e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.1281464130e+00,4.6734607800e-01,2.8950660000e-02,1.7418215300e-01,8.3487427000e-02,6.2009999997e-06,0.0000000000e+00,6.0476582000e-02,0.0000000000e+00,-1.0146767190e-01,7.8543108779e-01,0.0000000000e+00,-6.2262478662e-21,4.6921081435e-02,1.5698598768e+00,2.1054855862e-01,1.5000000000e+01
1,1,70,0.0000000000e+00,1.4623415598e+00,1.2570484974e+01,1.0733296162e+01,0.0000000000e+00,1.4841564571e+02,2.5196101850e+01,3.0783430372e+93,1.7289652140e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.5543436500e+00,4.2605899800e-01,2.7977188000e-02,1.8082408600e-01,6.6363830000e-02,9.1859999989e-06,0.0000000000e+00,6.2763689000e-02,0.0000000000e+00,-1.1308433580e-01,7.6235375276e-01,0.0000000000e+00,-7.1383704340e-21,4.8840301099e-02,1.5312911167e+00,1.7616117965e-01,1.5000000000e+01
1,1,80,0.0000000000e+00,1.1407735510e+00,1.1555887303e+01,9.2070251196e+00,0.0000000000e+00,1.0626987882e+02,2.3295498357e+01,3.0783430372e+93,1.7307926609e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.9643200420e+00,4.0984693600e-01,2.6925808000e-02,1.7291794500e-01,6.7076152000e-02,5.7789999994e-06,0.0000000000e+00,6.0476919000e-02,0.0000000000e+00,-1.2294667946e-01,7.5774677681e-01,0.0000000000e+00,-1.0364652599e-20,5.0248820850e-02,1.5274962474e+00,1.5472384851e-01,1.5000000000e+01
1,1,90,0.0000000000e+00,8.9119819377e-01,1.0813167223e+01,8.3658569169e+00,0.0000000000e+00,7.2032451006e+01,2.2662252273e+01,3.0783430372e+93,1.7291283749e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.3739238780e+00,4.0945846200e-01,2.6858037000e-02,1.7364785500e-01,6.6279309000e-02,6.5059999983e-06,0.0000000000e+00,6.0662005000e-02,0.0000000000e+00,-1.2170898494e-01,7.2522985122e-01,0.0000000000e+00,-1.3765842388e-21,5.2528150353e-02,1.4640376931e+00,1.4028289145e-01,1.5000000000e+01
1,1,100,0.0000000000e+00,8.5372849134e-01,9.7824520077e+00,7.4722625486e+00,0.0000000000e+00,8.5055530574e+01,2.2027263642e+01,3.0783430372e+93,1.7303274453e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.8054870400e+00,4.3144282900e-01,3.1126219000e-02,1.7826506100e-01,8.5323887000e-02,6.4499999990e-06,0.0000000000e+00,6.1456486000e-02,0.0000000000e+00,-1.1458265646e-01,7.2268668315e-01,0.0000000000e+00,-4.1828148479e-21,5.3813069903e-02,1.4554358106e+00,1.5273346024e-01,1.5000000000e+01
