step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,3.7244309771e+00,2.6387999623e+01,3.4705530560e+01,0.0000000000e+00,4.2577557307e+02,3.2813493596e+01,3.0783430372e+93,1.7232332158e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.3872080600e+00,9.2521081000e-01,5.7193778000e-02,3.5035969500e-01,1.7020430100e-01,1.2761999999e-05,0.0000000000e+00,1.3258888700e-01,0.0000000000e+00,-1.5194505016e-02,3.5912201050e-01,0.0000000000e+00,-6.2730874943e-21,2.6685368764e-02,7.0163570402e-01,1.5654170204e-01,1.5000000000e+01
1,1,20,0.0000000000e+00,2.1655607076e+00,1.4098503274e+01,1.3380847579e+01,0.0000000000e+00,2.1063803161e+02,2.5894709665e+01,3.0783430372e+93,1.7274932591e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.2598403330e+00,8.7244897700e-01,5.4194682000e-02,3.4799069400e-01,1.6252531000e-01,1.3523000000e-05,0.0000000000e+00,1.3223109200e-01,0.0000000000e+00,-7.2879611244e-02,7.7854497971e-01,0.0000000000e+00,-5.6979242942e-21,2.9901007625e-02,1.5417586684e+00,2.6221193902e-01,1.5000000000e+01
1,1,30,0.0000000000e+00,1.3901904228e+00,8.9383974831e+00,6.8555466135e+00,0.0000000000e+00,1.5867915630e+02,1.9988466904e+01,3.0783430372e+93,1.7275813683e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.1429558230e+00,8.8298575300e-01,5.6781409000e-02,3.5077062500e-01,1.6624531700e-01,1.6688000001e-05,0.0000000000e+00,1.3274878300e-01,0.0000000000e+00,-1.3208987206e-01,7.5575658264e-01,0.0000000000e+00,-2.6310581711e-21,3.8922694291e-02,1.5283843522e+00,1.3603035646e-01,1.5000000000e+01
1,1,40,0.0000000000e+00,8.9001124292e-01,6.5798858262e+00,4.7079782955e+00,0.0000000000e+00,8.0548065026e+01,1.8946454803e+01,3.0783430372e+93,1.7285948285e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.0206153650e+00,8.7753427400e-01,5.5162919000e-02,3.5123603400e-01,1.5782763000e-01,1.3662000001e-05,0.0000000000e+00,1.3337166900e-01,0.0000000000e+00,-8.9547975502e-02,7.6694469005e-01,0.0000000000e+00,-1.5215337443e-21,4.6488630655e-02,1.5279768099e+00,2.2400638019e-01,1.5000000000e+01
1,1,50,0.0000000000e+00,6.9774348301e-01,4.0755448396e+00,3.1301221166e+00,0.0000000000e+00,8.0268379716e+01,3.0968845468e+01,3.0783430372e+93,1.7301767881e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.9050197520e+00,8.8429172900e-01,5.6031028000e-02,3.5023796900e-01,1.6380049500e-01,1.2968000001e-05,0.0000000000e+00,1.3285299400e-01,0.0000000000e+00,-1.0142783434e-01,7.8337543839e-01,0.0000000000e+00,4.2106963091e-21,5.1355440553e-02,1.5658680457e+00,2.0956143646e-01,1.5000000000e+01
1,1,60,0.0000000000e+00,4.1173086781e-01,3.1138253004e+00,2.4013386419e+00,0.0000000000e+00,3.6716752184e+01,6.4854787006e+01,3.0783430372e+93,1.7304314265e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,6.8124332240e+00,9.0727438700e-01,5.3918054000e-02,3.4776737900e-01,1.5320520500e-01,1.3560000000e-05,0.0000000000e+00,1.3326593500e-01,0.0000000000e+00,-9.5378218633e-02,6.6882322916e-01,0.0000000000e+00,8.9937329335e-21,5.3452062792e-02,1.3414386595e+00,1.6195180974e-01,1.5000000000e+01
1,1,70,0.0000000000e+00,3.3877077359e-01,2.0017790360e+00,1.6534265654e+00,0.0000000000e+00,3.7157202680e+01,1.5523353412e+02,3.0783430372e+93,1.7307735368e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,7.6753344560e+00,8.6278907300e-01,5.5139960000e-02,3.4266829800e-01,1.4940119900e-01,1.3148999999e-05,0.0000000000e+00,1.3257240900e-01,0.0000000000e+00,-7.4439580529e-02,7.4974719577e-01,0.0000000000e+00,1.2688579770e-20,5.2895664523e-02,1.4869331215e+00,2.4429147989e-01,1.5000000000e+01
1,1,80,0.0000000000e+00,3.2775084696e-01,3.0460436726e+00,2.4846384070e+00,0.0000000000e+00,3.4840215173e+01,4.1880734522e+02,3.0783430372e+93,1.7355028332e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,8.5386637280e+00,8.6320566300e-01,5.3525274000e-02,3.4153787000e-01,1.4875977800e-01,1.3879000001e-05,0.0000000000e+00,1.3304563300e-01,0.0000000000e+00,-6.8085095922e-02,2.4735894258e-02,0.0000000000e+00,1.5166430600e-20,5.2470839558e-02,8.3029517225e-02,-1.1872606401e-01,1.5000000000e+01
1,1,90,0.0000000000e+00,5.0404649434e-01,4.2284201615e+00,3.9482618686e+00,0.0000000000e+00,5.4742047842e+01,1.2796996832e+03,3.0783430372e+93,1.7289699882e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,9.4160754970e+00,8.7727837500e-01,5.6755740000e-02,3.4275213200e-01,1.5928820900e-01,1.1321000004e-05,0.0000000000e+00,1.3329226500e-01,0.0000000000e+00,-3.8250957506e-02,1.8525527277e-01,0.0000000000e+00,9.5164364203e-21,5.0078942676e-02,3.7768585744e-01,2.2000010128e-02,1.5000000000e+01
1,1,100,0.0000000000e+00,6.0684262495e-01,5.1825135966e+00,4.7525392143e+00,0.0000000000e+00,6.7883470953e+01,2.1195728056e+03,3.0783430372e+93,1.7306043607e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.0287495311e+01,8.7127992500e-01,5.5024127000e-02,3.4494113500e-01,1.5163147400e-01,1.2627000000e-05,0.0000000000e+00,1.3326202300e-01,0.0000000000e+00,-3.7257673488e-02,3.2983639875e-01,0.0000000000e+00,1.1336028291e-20,4.6522223073e-02,6.5648098295e-01,9.8759585427e-02,1.5000000000e+01
