step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,2.3025047530e+00,1.2625948024e+01,1.2602886781e+01,0.0000000000e+00,2.4895269708e+02,1.6462870075e+01,3.0783430372e+93,1.7250490469e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.0680230140e+00,1.5931680430e+00,5.7910248000e-02,3.6401456900e-01,3.1769446600e-01,1.5952000000e-05,0.0000000000e+00,1.9643764700e-01,0.0000000000e+00,-9.7429048123e-02,7.8881174074e-01,0.0000000000e+00,-5.8717966976e-21,2.5006781395e-02,1.5743002513e+00,2.2010053538e-01,1.5000000000e+01
1,1,20,0.0000000000e+00,6.6424664595e-01,4.1288291233e+00,3.1293934977e+00,0.0000000000e+00,7.4182965354e+01,1.3410366462e+01,3.0783430372e+93,1.7297649445e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.5648490230e+00,1.4966267410e+00,5.6120112000e-02,3.4727396100e-01,2.6120504800e-01,1.5016000000e-05,0.0000000000e+00,1.9581232100e-01,0.0000000000e+00,-1.0013520309e-01,7.9061791785e-01,0.0000000000e+00,1.0765217902e-22,3.5689181763e-02,1.5791903265e+00,2.1580759151e-01,1.5000000000e+01
1,1,30,0.0000000000e+00,2.8517336769e-01,1.6897396399e+00,1.2551599987e+00,0.0000000000e+00,3.0750543964e+01,6.1501965876e+01,3.0783430372e+93,1.7300388966e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,6.0573029100e+00,1.4923038280e+00,5.7792087000e-02,3.4716084700e-01,2.5605760200e-01,1.6456000002e-05,0.0000000000e+00,1.9616795200e-01,0.0000000000e+00,-8.9106515913e-02,7.2782368496e-01,0.0000000000e+00,4.8921534580e-21,4.4600144895e-02,1.4521723153e+00,2.0460869227e-01,1.5000000000e+01
1,1,40,0.0000000000e+00,4.4076290630e-01,3.1859718902e+00,2.6699030037e+00,0.0000000000e+00,4.9692031038e+01,4.5307307364e+02,3.0783430372e+93,1.7314098832e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,7.5288728780e+00,1.4714285490e+00,5.4615399000e-02,3.4480864700e-01,2.4372801100e-01,1.4898000001e-05,0.0000000000e+00,1.9468300400e-01,0.0000000000e+00,-5.5279347631e-02,-7.7351880700e-02,0.0000000000e+00,8.3510394905e-21,4.7107864332e-02,-1.2081766263e-01,-1.4683177887e-01,1.5000000000e+01
1,1,50,0.0000000000e+00,6.6092316700e-01,4.3103364068e+00,4.0327328347e+00,0.0000000000e+00,7.4111932140e+01,1.4073219179e+03,3.0783430372e+93,1.7300131799e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,9.0051849850e+00,1.4761942730e+00,5.4594151000e-02,3.4557123000e-01,2.4426203800e-01,1.6780000005e-05,0.0000000000e+00,1.9499257500e-01,0.0000000000e+00,-4.5648231176e-02,3.8038015352e-01,0.0000000000e+00,8.2093476329e-21,4.4544165706e-02,7.5846729139e-01,1.0871364538e-01,1.5000000000e+01
1,1,60,0.0000000000e+00,2.4887758236e-01,1.4324533014e+00,1.1304763926e+00,0.0000000000e+00,2.8009865160e+01,1.5430452637e+03,3.0783430372e+93,1.7296461522e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.0588035604e+01,1.5827280160e+00,5.6783949000e-02,3.5565027300e-01,3.0352807200e-01,1.6943000004e-05,0.0000000000e+00,1.9587824800e-01,0.0000000000e+00,-8.8695042078e-02,5.6757595766e-01,0.0000000000e+00,9.3634375272e-21,3.7167648556e-02,1.1423844840e+00,1.2245327116e-01,1.5000000000e+01
1,1,70,0.0000000000e+00,9.1004084438e-02,5.6730738575e-01,3.3750555446e-01,0.0000000000e+00,1.0243727619e+01,1.0029251296e+03,3.0783430372e+93,1.7298167670e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.2058882445e+01,1.4706990520e+00,5.4388642000e-02,3.4537385900e-01,2.3833604500e-01,1.5458999997e-05,0.0000000000e+00,1.9524539500e-01,0.0000000000e+00,-1.0701149265e-01,6.5434472420e-01,0.0000000000e+00,7.1294907163e-21,3.8702403777e-02,1.3194901615e+00,1.3198342445e-01,1.5000000000e+01
1,1,80,0.0000000000e+00,4.5591953146e-02,3.0339261314e-01,1.6973156734e-01,0.0000000000e+00,5.1246690657e+00,1.3089173326e+03,3.0783430372e+93,1.7299467513e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.3542075998e+01,1.4830704320e+00,5.5041431000e-02,3.4338364100e-01,2.4561691000e-01,1.6388000008e-05,0.0000000000e+00,1.9573599800e-01,0.0000000000e+00,-1.0386665675e-01,6.7902813195e-01,0.0000000000e+00,1.2474498011e-20,3.9252931201e-02,1.3655469567e+00,1.5083585292e-01,1.5000000000e+01
1,1,90,0.0000000000e+00,3.1817294257e-02,2.3775165310e-01,1.4451170842e-01,0.0000000000e+00,3.5735150446e+00,1.9603525805e+03,3.0783430372e+93,1.7301747778e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.5029562406e+01,1.4873361440e+00,5.7333162000e-02,3.4860224500e-01,2.4818656200e-01,1.9458999995e-05,0.0000000000e+00,1.9567986200e-01,0.0000000000e+00,-9.0547054353e-02,7.2888740560e-01,0.0000000000e+00,1.4524495591e-20,3.8542918323e-02,1.4549729433e+00,2.0237640802e-01,1.5000000000e+01
1,1,100,0.0000000000e+00,5.4372831244e-02,3.8474103483e-01,2.8206654539e-01,0.0000000000e+00,6.1084489898e+00,4.0902538536e+03,3.0783430372e+93,1.7312360866e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.6502169118e+01,1.4724857310e+00,5.4379910000e-02,3.4420161100e-01,2.3211938000e-01,1.4239999995e-05,0.0000000000e+00,1.9651233100e-01,0.0000000000e+00,-6.8869121369e-02,6.4198877516e-01,0.0000000000e+00,1.3174327979e-20,3.6157387666e-02,1.2758763567e+00,1.9927291758e-01,1.5000000000e+01
1,1,110,0.0000000000e+00,5.7229436430e-02,4.0367868186e-01,2.5855804585e-01,0.0000000000e+00,6.4288496483e+00,7.8691953700e+03,3.0783430372e+93,1.7318921945e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.8025062215e+01,1.5227712450e+00,5.4279398000e-02,3.4420814300e-01,2.3415198500e-01,1.3594999999e-05,0.0000000000e+00,1.9621715800e-01,0.0000000000e+00,-2.9866048884e-02,4.7873780234e-01,0.0000000000e+00,1.1876753461e-20,3.3420144289e-02,9.4031021911e-01,1.9011614582e-01,1.5000000000e+01
1,1,120,0.0000000000e+00,6.7532412603e-02,4.7896221177e-01,3.5027332937e-01,0.0000000000e+00,7.5923347794e+00,1.4219606496e+04,3.0783430372e+93,1.7320464379e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.9579911216e+01,1.5547240720e+00,5.6046563000e-02,3.6773080000e-01,3.1051791600e-01,1.6525000003e-05,0.0000000000e+00,1.9584196400e-01,0.0000000000e+00,-6.8364762166e-03,2.9305628252e-01,0.0000000000e+00,9.0911052694e-21,3.1256903867e-02,5.6968008418e-01,1.3849003653e-01,1.5000000000e+01
