step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,2.1287037292e+01,1.1335636812e+02,1.6592403826e+02,0.0000000000e+00,2.5559192875e+03,7.6215631006e+01,3.0783430372e+93,1.7358134756e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.9725092290e+00,4.0246028600e-01,3.2233263000e-02,2.0335280900e-01,1.1183004900e-01,8.7150000001e-06,0.0000000000e+00,6.0489877000e-02,0.0000000000e+00,2.8865592272e-01,-7.8175264888e-02,0.0000000000e+00,-9.3547872742e-21,4.6691386589e-02,-3.0044231523e-01,5.1717392652e-01,1.5000000000e+01
1,1,20,0.0000000000e+00,1.3428234566e+01,5.2226253364e+01,9.4404943846e+01,0.0000000000e+00,1.3654170411e+03,5.8394624068e+01,3.0783430372e+93,1.7245742823e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.3176399230e+00,3.4495122400e-01,3.0312957000e-02,1.9921811300e-01,9.4975551000e-02,6.5079999994e-06,0.0000000000e+00,6.0367567000e-02,0.0000000000e+00,-8.2171245138e-02,-6.3956270216e-02,0.0000000000e+00,-1.3476476474e-20,4.5100596008e-02,-8.1019059906e-02,-1.9184885729e-01,1.5000000000e+01
1,1,30,0.0000000000e+00,8.4310114593e+00,3.9359398285e+01,6.2757061249e+01,0.0000000000e+00,9.6361697121e+02,4.4584202228e+01,3.0783430372e+93,1.7369574668e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.6627561360e+00,3.4500168700e-01,3.0425863000e-02,1.9926480300e-01,9.4118943000e-02,7.9259999990e-06,0.0000000000e+00,6.0469845000e-02,0.0000000000e+00,1.3584893458e-01,2.4730115941e-02,0.0000000000e+00,-1.4831051540e-20,4.5216394831e-02,-2.2545667701e-02,2.7524123875e-01,1.5000000000e+01
1,1,40,0.0000000000e+00,4.2180192439e+00,3.3845053986e+01,4.3852437915e+01,0.0000000000e+00,3.8514491373e+02,4.1745326151e+01,3.0783430372e+93,1.7210135231e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.0162673650e+00,3.5339212600e-01,2.8176283000e-02,1.9984696600e-01,1.0319719300e-01,9.4990000008e-06,0.0000000000e+00,6.0096564000e-02,0.0000000000e+00,-5.7482709762e-02,5.4143692179e-01,0.0000000000e+00,-6.1273147700e-21,4.4902464408e-02,1.0757310522e+00,1.6922030631e-01,1.5000000000e+01
1,1,50,0.0000000000e+00,3.8991886350e+00,2.5065438374e+01,3.3417045814e+01,0.0000000000e+00,4.2659305705e+02,4.3615014133e+01,3.0783430372e+93,1.7359997943e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.3587928450e+00,3.4240186900e-01,2.6960491000e-02,1.9785389800e-01,9.1665679000e-02,7.4620000006e-06,0.0000000000e+00,6.0357219000e-02,0.0000000000e+00,2.2908145128e-02,5.5890616236e-01,0.0000000000e+00,-8.8626993958e-21,4.5438364203e-02,1.0678656649e+00,3.3356625651e-01,1.5000000000e+01
1,1,60,0.0000000000e+00,2.5878416020e+00,2.2814169357e+01,2.9218709412e+01,0.0000000000e+00,2.5682247317e+02,4.1792551779e+01,3.0783430372e+93,1.7208187727e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.6981761890e+00,3.3927023300e-01,2.7063028000e-02,1.7105129600e-01,5.0820907000e-02,5.4110000001e-06,0.0000000000e+00,6.0737298000e-02,0.0000000000e+00,-3.8137786414e-02,6.2517037360e-01,0.0000000000e+00,-5.5474280113e-21,4.7659266238e-02,1.2274779903e+00,2.4993545253e-01,1.5000000000e+01
1,1,70,0.0000000000e+00,2.2441505524e+00,2.0865583803e+01,2.1733414725e+01,0.0000000000e+00,2.0751055091e+02,3.8532026305e+01,3.0783430372e+93,1.7314050018e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.0096030710e+00,3.1131400600e-01,2.7055359000e-02,1.7569466800e-01,5.9994762000e-02,5.2610000001e-06,0.0000000000e+00,6.0641188000e-02,0.0000000000e+00,-7.1288186823e-02,8.8014413737e-01,0.0000000000e+00,-1.2979798955e-20,4.8339223112e-02,1.7372093872e+00,3.1787792885e-01,1.5000000000e+01
1,1,80,0.0000000000e+00,1.9794275362e+00,1.7907404349e+01,1.7720966805e+01,0.0000000000e+00,2.0224653562e+02,3.5964532681e+01,3.0783430372e+93,1.7269864983e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.3285557370e+00,3.1883439300e-01,3.0839057000e-02,1.7400403400e-01,6.5199811000e-02,7.5460000009e-06,0.0000000000e+00,6.0089504000e-02,0.0000000000e+00,-7.9965051970e-02,7.6589491826e-01,0.0000000000e+00,3.6099625650e-21,5.0002466278e-02,1.5209883203e+00,2.4197576499e-01,1.5000000000e+01
1,1,90,0.0000000000e+00,1.5685888486e+00,1.6654925058e+01,1.5676105563e+01,0.0000000000e+00,1.3642292140e+02,3.4287574946e+01,3.0783430372e+93,1.7236830268e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.6308822820e+00,3.0216941700e-01,2.6871888000e-02,1.7032406000e-01,5.2999130000e-02,7.9550000001e-06,0.0000000000e+00,6.0000666000e-02,0.0000000000e+00,-1.3248144711e-01,8.3354561894e-01,0.0000000000e+00,-5.1606110554e-21,5.2828723410e-02,1.6788639247e+00,1.7554045976e-01,1.5000000000e+01
1,1,100,0.0000000000e+00,1.4767493506e+00,1.4965769150e+01,1.3534853936e+01,0.0000000000e+00,1.5011941887e+02,3.2200426928e+01,3.0783430372e+93,1.7328828204e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.9334257430e+00,3.0243052300e-01,2.7016729000e-02,1.7062312500e-01,5.2116722000e-02,8.2629999998e-06,0.0000000000e+00,6.0145326000e-02,0.0000000000e+00,-1.0028608062e-01,7.6890542923e-01,0.0000000000e+00,-5.2317426546e-21,5.3593120784e-02,1.5373231194e+00,2.0427690735e-01,1.5000000000e+01
