step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,3.3195722850e+01,1.0211918431e+02,1.1807738641e+02,0.0000000000e+00,3.7267048254e+03,1.0844496313e+02,3.0783430372e+93,1.7255117289e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.5774052790e+00,1.1265321780e+00,5.8252348000e-02,3.8215282600e-01,2.7749850000e-01,1.1801000000e-05,0.0000000000e+00,1.7632584500e-01,0.0000000000e+00,9.1522908598e-03,-2.2196236400e+00,0.0000000000e+00,-1.2780722040e-20,3.7095746480e-02,-4.2927211714e+00,-1.1312808738e+00,1.5000000000e+01
1,1,20,0.0000000000e+00,1.7243511337e+01,8.1111239527e+01,1.1602962875e+02,0.0000000000e+00,1.9197000686e+03,6.6286084716e+01,3.0783430372e+93,1.7395539262e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.5714257760e+00,9.9383726000e-01,5.5976021000e-02,3.4932387500e-01,1.8788392600e-01,1.1548999999e-05,0.0000000000e+00,1.7561169100e-01,0.0000000000e+00,-3.7437662886e-02,-1.7799548176e-02,0.0000000000e+00,-9.0731782564e-21,3.8196620738e-02,-1.5006926240e-02,-8.1537735039e-02,1.5000000000e+01
1,1,30,0.0000000000e+00,8.6824028172e+00,8.1980661079e+01,9.8611713794e+01,0.0000000000e+00,7.9246820645e+02,4.3684385187e+01,3.0783430372e+93,1.7342121640e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.5881665050e+00,1.0166101800e+00,5.8376680000e-02,3.5166860200e-01,1.9639854200e-01,1.1852999999e-05,0.0000000000e+00,1.7789377300e-01,0.0000000000e+00,-1.3049698598e-01,1.0640410249e+00,0.0000000000e+00,-9.4414886010e-21,4.2532047996e-02,2.1231196229e+00,2.9868734598e-01,1.5000000000e+01
1,1,40,0.0000000000e+00,1.0451611686e+01,5.3605357858e+01,6.8128833949e+01,0.0000000000e+00,1.0406515653e+03,4.3452850137e+01,3.0783430372e+93,1.7029928823e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.5783072070e+00,9.9001434100e-01,5.5921990000e-02,3.5280011800e-01,1.8100146200e-01,1.1119000001e-05,0.0000000000e+00,1.7630645400e-01,0.0000000000e+00,-2.7708762234e-01,5.0698368327e-01,0.0000000000e+00,-1.1558797755e-20,4.5687990169e-02,1.1228483740e+00,-2.7285811555e-01,1.5000000000e+01
1,1,50,0.0000000000e+00,1.0541294355e+01,2.8638950335e+01,3.3670702485e+01,0.0000000000e+00,1.1506922236e+03,4.3888943697e+01,3.0783430372e+93,1.7237187082e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,6.5686131630e+00,9.9019274800e-01,5.8497189000e-02,3.4859983000e-01,1.7592416300e-01,1.3548999999e-05,0.0000000000e+00,1.7660902600e-01,0.0000000000e+00,-2.6423084660e-01,9.8975152663e-01,0.0000000000e+00,-1.0488189454e-20,4.7642836131e-02,2.0488290732e+00,1.8782923618e-03,1.5000000000e+01
1,1,60,0.0000000000e+00,7.2246472945e+00,3.0309312439e+01,3.3638483043e+01,0.0000000000e+00,8.0475800251e+02,3.1707047189e+01,3.0783430372e+93,1.7393629125e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,7.5847446140e+00,1.0159990540e+00,5.4085335000e-02,3.4841895100e-01,1.6799583800e-01,1.1067000001e-05,0.0000000000e+00,1.7661575500e-01,0.0000000000e+00,-8.6869005001e-04,8.0270268761e-01,0.0000000000e+00,-7.8843569456e-21,5.1488501019e-02,1.5511521807e+00,4.1383130591e-01,1.5000000000e+01
1,1,70,0.0000000000e+00,4.1833458761e+00,3.2391346604e+01,3.6183299340e+01,0.0000000000e+00,4.1031546541e+02,2.3149611238e+01,3.0783430372e+93,1.7344176663e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,8.5564954330e+00,9.7163151000e-01,5.4100892000e-02,3.4904285900e-01,1.5862953100e-01,1.0494000001e-05,0.0000000000e+00,1.7688049900e-01,0.0000000000e+00,9.3400094987e-02,1.1009778288e-01,0.0000000000e+00,-3.6841659018e-21,5.5936384861e-02,1.6434513700e-01,2.3742593391e-01,1.5000000000e+01
1,1,80,0.0000000000e+00,5.6693752033e+00,2.4768442334e+01,2.8168034349e+01,0.0000000000e+00,5.1659003160e+02,2.9553234169e+01,3.0783430372e+93,1.7439609093e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,9.5522205970e+00,9.9561141900e-01,5.7031884000e-02,3.5179990800e-01,1.8117742800e-01,1.2743999998e-05,0.0000000000e+00,1.7703209000e-01,0.0000000000e+00,-4.6845407216e-03,1.1340025615e-01,0.0000000000e+00,-2.2480939106e-21,5.8929282072e-02,2.2149736897e-01,4.9650454290e-02,1.5000000000e+01
1,1,90,0.0000000000e+00,5.2086335782e+00,2.6591202360e+01,2.3224638016e+01,0.0000000000e+00,4.8619412033e+02,3.1040310939e+01,3.0783430372e+93,1.7397553220e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.0527455202e+01,9.7508040500e-01,5.4434287000e-02,3.4699733700e-01,1.6233768400e-01,1.0573999999e-05,0.0000000000e+00,1.7671866500e-01,0.0000000000e+00,-8.4053831556e-02,1.4759845662e-01,0.0000000000e+00,-1.8676555742e-21,6.1592115500e-02,3.2864778719e-01,-8.5976950193e-02,1.5000000000e+01
1,1,100,0.0000000000e+00,4.5417710080e+00,2.0460746586e+01,1.7837434492e+01,0.0000000000e+00,3.9970789305e+02,4.1365360155e+01,3.0783430372e+93,1.7243794076e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.1506839839e+01,9.7927208800e-01,5.5632049000e-02,3.4829114200e-01,1.7223585300e-01,9.7260000036e-06,0.0000000000e+00,1.7558152700e-01,0.0000000000e+00,-2.0446163244e-01,4.8072278198e-01,0.0000000000e+00,1.3628159795e-21,6.4477333946e-02,1.0345222297e+00,-1.4614911973e-01,1.5000000000e+01
