step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,4.1557158576e+01,2.8903386691e+02,3.9787356465e+02,0.0000000000e+00,4.4444735412e+03,1.3745677427e+02,3.0783430372e+93,1.7318631131e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.8103673170e+00,3.1777216400e-01,2.9426941000e-02,1.7497030200e-01,6.4096425000e-02,5.9200000000e-06,0.0000000000e+00,6.2609598000e-02,0.0000000000e+00,8.5464947126e-01,-3.2259574550e-03,0.0000000000e+00,-1.8400407037e-20,6.7182101700e-02,-4.4863119134e-01,1.6493861150e+00,1.5000000000e+01
1,1,20,0.0000000000e+00,6.1220748602e+01,2.1606695642e+02,2.3934276805e+02,0.0000000000e+00,6.8139508555e+03,1.9364050745e+02,3.0783430372e+93,1.7381366529e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.0974968620e+00,2.8695504500e-01,2.7493906000e-02,1.8489801100e-01,6.7043860000e-02,6.3109999999e-06,0.0000000000e+00,6.1348092000e-02,0.0000000000e+00,4.8956796470e-01,-3.5983289657e-02,0.0000000000e+00,-1.5861906970e-20,6.9684418655e-02,-3.2293340386e-01,9.2714636032e-01,1.5000000000e+01
1,1,30,0.0000000000e+00,3.0777629487e+01,2.1427031879e+02,3.2990330524e+02,0.0000000000e+00,3.0452767500e+03,1.1752891631e+02,3.0783430372e+93,1.7410596536e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.3748854520e+00,2.7725879900e-01,2.6748792000e-02,1.7827436000e-01,5.6941700000e-02,5.8930000004e-06,0.0000000000e+00,6.1609902000e-02,0.0000000000e+00,2.3870260816e-01,-7.4732407454e-02,0.0000000000e+00,-5.8705830883e-21,7.0172153826e-02,-2.6793348706e-01,4.2245368738e-01,1.5000000000e+01
1,1,40,0.0000000000e+00,4.7920606249e+01,1.6018274630e+02,1.6300178649e+02,0.0000000000e+00,5.1742050237e+03,1.6340961853e+02,3.0783430372e+93,1.7310208072e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.6417454560e+00,2.6674733600e-01,2.6545293000e-02,1.7350031600e-01,5.0306446000e-02,5.4500000002e-06,0.0000000000e+00,6.0249869000e-02,0.0000000000e+00,-3.6507775658e-02,3.1488460608e-01,0.0000000000e+00,-8.3371554585e-21,6.9515927187e-02,6.2720816189e-01,9.2468659389e-02,1.5000000000e+01
1,1,50,0.0000000000e+00,2.8171391813e+01,2.0771691854e+02,2.6211752613e+02,0.0000000000e+00,2.9732343611e+03,1.1943990371e+02,3.0783430372e+93,1.7231382222e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.9431613810e+00,3.0130507700e-01,2.7299400000e-02,1.9607150800e-01,8.2928702000e-02,4.9229999992e-06,0.0000000000e+00,6.1031422000e-02,0.0000000000e+00,-2.6598318026e-01,1.3389573399e+00,0.0000000000e+00,2.9699285181e-21,6.8188674854e-02,2.7243499752e+00,1.7925527394e-01,1.5000000000e+01
1,1,60,0.0000000000e+00,4.2039261015e+01,1.3363059167e+02,1.7618756320e+02,0.0000000000e+00,4.5551026112e+03,1.4645102315e+02,3.0783430372e+93,1.7256683920e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.2491151900e+00,3.0583512600e-01,2.6677812000e-02,1.7349435400e-01,5.2601606000e-02,4.6900000004e-06,0.0000000000e+00,5.9833871000e-02,0.0000000000e+00,-2.2289535129e-01,-2.5574440733e+00,0.0000000000e+00,-1.0986323068e-20,6.7199186798e-02,-4.8252234355e+00,-1.7544312187e+00,1.5000000000e+01
1,1,70,0.0000000000e+00,2.5701077057e+01,2.0011326565e+02,2.3161343402e+02,0.0000000000e+00,2.8564108719e+03,1.0491015368e+02,3.0783430372e+93,1.7219551521e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.5455849640e+00,2.9637145900e-01,2.6786736000e-02,1.9243654600e-01,7.8050865000e-02,4.1849999994e-06,0.0000000000e+00,6.0761509000e-02,0.0000000000e+00,1.1295014203e-01,-7.2092669799e-02,0.0000000000e+00,-1.5198313524e-20,6.6691005986e-02,-1.9773963910e-01,1.8088500662e-01,1.5000000000e+01
1,1,80,0.0000000000e+00,3.7632151492e+01,1.4091932819e+02,1.7497573885e+02,0.0000000000e+00,4.0231163971e+03,1.3416567202e+02,3.0783430372e+93,1.7347187475e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.8138824410e+00,2.6818796300e-01,2.6739472000e-02,1.7390512000e-01,5.1697850000e-02,4.9440000001e-06,0.0000000000e+00,6.0143990000e-02,0.0000000000e+00,1.3166732866e-01,4.4776387093e+00,0.0000000000e+00,-6.9025859908e-21,6.6052482731e-02,8.5819777156e+00,2.5721580966e+00,1.5000000000e+01
1,1,90,0.0000000000e+00,2.7490210075e+01,1.6159609596e+02,2.0981153322e+02,0.0000000000e+00,2.9932933630e+03,1.0502797577e+02,3.0783430372e+93,1.7231529194e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.0969239090e+00,2.8292393900e-01,2.8506697000e-02,1.7899270600e-01,6.0751249000e-02,6.2559999998e-06,0.0000000000e+00,6.0662757000e-02,0.0000000000e+00,1.7993537980e-01,-3.0089614365e+00,0.0000000000e+00,-1.8160212174e-21,6.5563691468e-02,-5.9060085300e+00,-1.2099445907e+00,1.5000000000e+01
1,1,100,0.0000000000e+00,3.1890333962e+01,1.2207367886e+02,1.7892780485e+02,0.0000000000e+00,3.3563597270e+03,1.1635532875e+02,3.0783430372e+93,1.7375263333e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.3701691440e+00,2.7311422400e-01,2.8896187000e-02,1.7494591300e-01,5.4415460000e-02,6.0729999998e-06,0.0000000000e+00,6.0997169000e-02,0.0000000000e+00,3.0547870314e-01,-2.0348663356e+00,0.0000000000e+00,-2.3045696826e-21,6.5379733658e-02,-4.0891873057e+00,-4.6318478631e-01,1.5000000000e+01
