step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,9.6925674480e+00,7.2094577903e+01,1.1914989057e+02,0.0000000000e+00,7.3749682855e+02,4.0247805228e+01,3.0783430372e+93,1.7280403254e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.9017887880e+00,6.2389250500e-01,3.1760242000e-02,1.9648674100e-01,1.1322609100e-01,8.2909999999e-06,0.0000000000e+00,6.9527665000e-02,0.0000000000e+00,3.7907904979e-02,2.0851664553e-01,0.0000000000e+00,-1.3995614938e-20,4.6501680204e-02,3.8320065072e-01,1.8116860705e-01,1.5000000000e+01
1,1,20,0.0000000000e+00,5.9150005275e+00,3.8271924854e+01,5.0227477556e+01,0.0000000000e+00,7.8011771587e+02,3.3004763927e+01,3.0783430372e+93,1.7319774522e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.4393436590e+00,5.3736426600e-01,2.8354163000e-02,1.7081802200e-01,7.1308114000e-02,8.0220000007e-06,0.0000000000e+00,6.9078530000e-02,0.0000000000e+00,1.3069981923e-01,3.5227308093e-01,0.0000000000e+00,-5.7663340660e-21,4.5724224581e-02,6.1288412874e-01,4.3484262661e-01,1.5000000000e+01
1,1,30,0.0000000000e+00,3.4602911390e+00,2.4170424001e+01,3.4238958182e+01,0.0000000000e+00,3.9768589441e+02,3.2072511207e+01,3.0783430372e+93,1.7275286218e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.9770093430e+00,5.3755174300e-01,2.8540291000e-02,1.6963845800e-01,7.0683817000e-02,6.9710000008e-06,0.0000000000e+00,6.9203951000e-02,0.0000000000e+00,-2.1210923288e-02,4.6665130215e-01,0.0000000000e+00,-1.3597790111e-20,4.4530720592e-02,9.1248067106e-01,2.0058013163e-01,1.5000000000e+01
1,1,40,0.0000000000e+00,2.2346660845e+00,1.6306664983e+01,2.6636270949e+01,0.0000000000e+00,2.3339891103e+02,2.6412725830e+01,3.0783430372e+93,1.7274947299e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.5236162860e+00,5.4648509500e-01,3.0598209000e-02,1.7124641800e-01,8.0154055000e-02,8.7710000001e-06,0.0000000000e+00,6.9082730000e-02,0.0000000000e+00,-2.2009209811e-02,6.6609735074e-01,0.0000000000e+00,-8.7373159412e-21,4.5181251332e-02,1.2981940731e+00,3.0227883218e-01,1.5000000000e+01
1,1,50,0.0000000000e+00,2.0311999865e+00,1.6258833215e+01,1.6894728879e+01,0.0000000000e+00,2.2803262643e+02,2.5724237605e+01,3.0783430372e+93,1.7295197910e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.0593089110e+00,5.3556587500e-01,2.9434495000e-02,1.7000053200e-01,6.8550010000e-02,7.0630000000e-06,0.0000000000e+00,6.9269298000e-02,0.0000000000e+00,-6.8182043379e-02,7.2437410066e-01,0.0000000000e+00,-4.0158192334e-21,4.5700494848e-02,1.4346769262e+00,2.4324603288e-01,1.5000000000e+01
1,1,60,0.0000000000e+00,1.7930865259e+00,1.3448407498e+01,1.2852181652e+01,0.0000000000e+00,1.9476735536e+02,2.4492538734e+01,3.0783430372e+93,1.7297572239e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.6408567820e+00,5.8143495900e-01,2.8052712000e-02,1.7121845600e-01,7.6998473000e-02,7.7520000010e-06,0.0000000000e+00,6.9085160000e-02,0.0000000000e+00,-1.0171077084e-01,7.8528570311e-01,0.0000000000e+00,-9.0566622936e-21,4.6920827718e-02,1.5697048525e+00,2.1000367088e-01,1.5000000000e+01
1,1,70,0.0000000000e+00,1.4637738416e+00,1.2525245691e+01,1.0699746487e+01,0.0000000000e+00,1.4868067048e+02,2.5088854923e+01,3.0783430372e+93,1.7289605467e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,6.1858104340e+00,5.4482132700e-01,3.4060280000e-02,1.7206363200e-01,7.5299525000e-02,7.0270000032e-06,0.0000000000e+00,6.9190156000e-02,0.0000000000e+00,-1.1330172454e-01,7.6208890409e-01,0.0000000000e+00,1.3682988296e-21,4.8844744192e-02,1.5308919971e+00,1.7560412109e-01,1.5000000000e+01
1,1,80,0.0000000000e+00,1.1430086248e+00,1.1517914668e+01,9.1781026909e+00,0.0000000000e+00,1.0657452447e+02,2.3184233330e+01,3.0783430372e+93,1.7308005392e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,6.6990230220e+00,5.1309551500e-01,2.8065078000e-02,1.6962705100e-01,4.7988896000e-02,7.1869999996e-06,0.0000000000e+00,6.9185461000e-02,0.0000000000e+00,-1.2314937564e-01,7.5789032232e-01,0.0000000000e+00,-1.0583199348e-20,5.0252382281e-02,1.5278784793e+00,1.5440657419e-01,1.5000000000e+01
1,1,90,0.0000000000e+00,8.9121845642e-01,1.0781676162e+01,8.3361914729e+00,0.0000000000e+00,7.1936383261e+01,2.2569981595e+01,3.0783430372e+93,1.7291298920e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,7.2081152530e+00,5.0895527700e-01,2.8027437000e-02,1.7003583100e-01,4.3621147000e-02,7.5190000013e-06,0.0000000000e+00,6.9110334000e-02,0.0000000000e+00,-1.2200170132e-01,7.2496139973e-01,0.0000000000e+00,-2.1547937425e-21,5.2532061065e-02,1.4636706058e+00,1.3957844611e-01,1.5000000000e+01
1,1,100,0.0000000000e+00,8.5163003599e-01,9.7536973660e+00,7.4492350514e+00,0.0000000000e+00,8.4583399113e+01,2.1929536612e+01,3.0783430372e+93,1.7303387290e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,7.7472436750e+00,5.3901486400e-01,3.1402176000e-02,1.7211316100e-01,6.9932533000e-02,6.9669999982e-06,0.0000000000e+00,6.9059232000e-02,0.0000000000e+00,-1.1491149624e-01,7.2227791405e-01,0.0000000000e+00,-3.7328418149e-21,5.3815454125e-02,1.4548163493e+00,1.5188659611e-01,1.5000000000e+01
