step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,2.3701682948e+01,1.3388795589e+02,1.7637979993e+02,0.0000000000e+00,2.8856006501e+03,8.1744963358e+01,3.0783430372e+93,1.7342078206e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.6931275830e+00,4.0143063000e-01,3.4898316000e-02,1.9218484200e-01,6.9473972000e-02,9.3020000000e-06,0.0000000000e+00,7.0022567000e-02,0.0000000000e+00,2.9537381433e-01,1.2162542403e-01,0.0000000000e+00,-1.3609813010e-21,4.6808112142e-02,8.2065539268e-02,6.3357634356e-01,1.5000000000e+01
1,1,20,0.0000000000e+00,1.6788083461e+01,6.6010005703e+01,1.1566558878e+02,0.0000000000e+00,1.7251621376e+03,7.1266651495e+01,3.0783430372e+93,1.7249725072e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.0435224420e+00,3.5022110100e-01,3.2052142000e-02,1.9576076800e-01,6.2660847000e-02,6.8080000002e-06,0.0000000000e+00,6.9234049000e-02,0.0000000000e+00,-9.1563770229e-02,-3.0518984536e-01,0.0000000000e+00,-8.9526337855e-21,4.5030487312e-02,-5.4218461196e-01,-3.3486550954e-01,1.5000000000e+01
1,1,30,0.0000000000e+00,1.2409866486e+01,5.3308223438e+01,7.5805576539e+01,0.0000000000e+00,1.4521935909e+03,6.0265933554e+01,3.0783430372e+93,1.7316126804e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.3992241880e+00,3.5559021900e-01,3.2235912000e-02,1.9769145900e-01,6.7958147000e-02,4.6990000002e-06,0.0000000000e+00,6.9524184000e-02,0.0000000000e+00,1.3911332751e-01,2.3119384933e-01,0.0000000000e+00,-1.7208521045e-20,4.5542835121e-02,3.7462186271e-01,3.8842105429e-01,1.5000000000e+01
1,1,40,0.0000000000e+00,5.4267848079e+00,4.7523253169e+01,5.5563952799e+01,0.0000000000e+00,5.0739836421e+02,4.3030690897e+01,3.0783430372e+93,1.7207554708e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.7400347220e+00,3.4070181500e-01,3.2380858000e-02,1.8624768900e-01,5.5833227000e-02,4.6100000000e-06,0.0000000000e+00,6.8805591000e-02,0.0000000000e+00,-6.0439403276e-02,5.2350571745e-01,0.0000000000e+00,-7.9257280429e-22,4.5208609632e-02,1.0426211227e+00,1.5422653869e-01,1.5000000000e+01
1,1,50,0.0000000000e+00,6.3043005528e+00,2.8256687757e+01,3.8960686035e+01,0.0000000000e+00,7.1695703365e+02,4.5252093874e+01,3.0783430372e+93,1.7326162706e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.0793205480e+00,3.3916972700e-01,3.2394222000e-02,1.8466003300e-01,5.4061712000e-02,5.5049999999e-06,0.0000000000e+00,6.8893817000e-02,0.0000000000e+00,3.2712625480e-02,4.1416759753e-01,0.0000000000e+00,-1.7409890065e-20,4.5302039949e-02,7.8317705675e-01,2.7758486380e-01,1.5000000000e+01
1,1,60,0.0000000000e+00,3.3000323458e+00,2.9372608939e+01,3.7214871690e+01,0.0000000000e+00,3.8725608802e+02,4.0371966345e+01,3.0783430372e+93,1.7227970255e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.4633569640e+00,3.8392900400e-01,3.3072040000e-02,1.8513983200e-01,5.9838937000e-02,6.9040000001e-06,0.0000000000e+00,6.9388703000e-02,0.0000000000e+00,-2.5701989240e-02,7.0746187698e-01,0.0000000000e+00,-7.5428155828e-21,4.7973568126e-02,1.3800157248e+00,3.1655678450e-01,1.5000000000e+01
1,1,70,0.0000000000e+00,2.8967003336e+00,2.2458291187e+01,2.5858584080e+01,0.0000000000e+00,2.8389345013e+02,3.7717614101e+01,3.0783430372e+93,1.7332854095e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.8001746540e+00,3.3670210200e-01,3.1944848000e-02,1.8416535200e-01,5.1292479000e-02,5.1729999990e-06,0.0000000000e+00,6.8950304000e-02,0.0000000000e+00,-8.6198835817e-02,7.8446099140e-01,0.0000000000e+00,-2.3176414290e-21,4.8329724755e-02,1.5600820634e+00,2.3954352600e-01,1.5000000000e+01
1,1,80,0.0000000000e+00,2.4277685274e+00,1.9262812827e+01,1.9457961195e+01,0.0000000000e+00,2.6902354438e+02,3.5089592320e+01,3.0783430372e+93,1.7256419110e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.1371260150e+00,3.3683931300e-01,3.1856271000e-02,1.8408205900e-01,5.1747973000e-02,5.4449999984e-06,0.0000000000e+00,6.9048414000e-02,0.0000000000e+00,-5.1414276896e-02,7.5129680820e-01,0.0000000000e+00,-4.9295507400e-21,5.0120001608e-02,1.4780079686e+00,2.8957508919e-01,1.5000000000e+01
1,1,90,0.0000000000e+00,1.5643976693e+00,1.6613765762e+01,1.7464155667e+01,0.0000000000e+00,1.5379817200e+02,3.2318295461e+01,3.0783430372e+93,1.7257611381e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.4514615700e+00,3.1420915400e-01,2.8785927000e-02,1.7189463100e-01,2.9157766000e-02,5.8590000007e-06,0.0000000000e+00,6.8851106000e-02,0.0000000000e+00,-1.4703042141e-01,8.5275235471e-01,0.0000000000e+00,2.0148289971e-22,5.2997405982e-02,1.7234995922e+00,1.5737613773e-01,1.5000000000e+01
1,1,100,0.0000000000e+00,1.4752421182e+00,1.3375521189e+01,1.3536938141e+01,0.0000000000e+00,1.5296441763e+02,2.9793202765e+01,3.0783430372e+93,1.7333214940e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.8013597580e+00,3.4978922000e-01,3.4124145000e-02,1.8478544800e-01,5.8102670000e-02,5.3900000001e-06,0.0000000000e+00,6.9861956000e-02,0.0000000000e+00,-9.8329376699e-02,7.6917845805e-01,0.0000000000e+00,-1.4030244544e-21,5.3488246956e-02,1.5368377061e+00,2.0819829918e-01,1.5000000000e+01
