step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,4.1129174618e+01,2.4626530023e+02,2.7588377410e+02,0.0000000000e+00,4.3611562161e+03,1.4530578335e+02,3.0783430372e+93,1.7363926394e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.8587685650e+00,9.1623111600e-01,6.4608668000e-02,3.8482608700e-01,1.5359589800e-01,1.2809999999e-05,0.0000000000e+00,1.5771318000e-01,0.0000000000e+00,1.0616226323e-01,-3.1931050710e-02,0.0000000000e+00,-7.1231111986e-21,4.2230877988e-02,-1.1663968427e-01,1.8856101556e-01,1.5000000000e+01
1,1,20,0.0000000000e+00,2.8418690959e+01,1.7137838796e+02,1.8415418190e+02,0.0000000000e+00,3.1828400339e+03,1.0712868127e+02,3.0783430372e+93,1.7241605701e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.6347155140e+00,7.7577050200e-01,5.6397483000e-02,3.4139562200e-01,5.8085187000e-02,1.5960000000e-05,0.0000000000e+00,1.5769335500e-01,0.0000000000e+00,2.4346961720e-01,-2.4669967654e+00,0.0000000000e+00,3.4362526656e-21,4.3828229635e-02,-4.8919009257e+00,-8.0666431183e-01,1.5000000000e+01
1,1,30,0.0000000000e+00,3.1529421123e+01,9.6441786884e+01,1.2176202277e+02,0.0000000000e+00,3.4720509967e+03,1.1527353490e+02,3.0783430372e+93,1.6636801017e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.3985457780e+00,7.6370371400e-01,5.7152272000e-02,3.3979812900e-01,4.7047763000e-02,1.5554000000e-05,0.0000000000e+00,1.5748970200e-01,0.0000000000e+00,1.6880400024e-02,2.3745650065e+00,0.0000000000e+00,9.9486802124e-21,4.6997518314e-02,4.5785693939e+00,1.2617757237e+00,1.5000000000e+01
1,1,40,0.0000000000e+00,2.2140071783e+01,1.1900737388e+02,1.6151649796e+02,0.0000000000e+00,2.2715269772e+03,9.2878339639e+01,3.0783430372e+93,1.7283916755e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.1792849430e+00,7.8062272800e-01,5.8878308000e-02,3.4295726100e-01,5.5431200000e-02,1.6677999999e-05,0.0000000000e+00,1.5788776800e-01,0.0000000000e+00,6.3373062685e-02,1.1119384587e+00,0.0000000000e+00,-8.7806016441e-21,4.6630387161e-02,2.1152958379e+00,6.9800905607e-01,1.5000000000e+01
1,1,50,0.0000000000e+00,2.1769037995e+01,1.0653127725e+02,1.3704589295e+02,0.0000000000e+00,2.4756087635e+03,9.4103157685e+01,3.0783430372e+93,1.6808040071e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.9483350890e+00,7.6891660600e-01,5.5140563000e-02,3.4211727900e-01,5.0041881000e-02,1.4022999999e-05,0.0000000000e+00,1.5773142500e-01,0.0000000000e+00,6.0488704931e-02,2.4356469437e-01,0.0000000000e+00,-3.7024574001e-21,5.0731349843e-02,4.3921959963e-01,2.4293356782e-01,1.5000000000e+01
1,1,60,0.0000000000e+00,2.7434543880e+01,8.2621209178e+01,9.0078560135e+01,0.0000000000e+00,3.0614650025e+03,1.0416932237e+02,3.0783430372e+93,1.7543885087e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.7719437390e+00,8.2348572300e-01,5.6452537000e-02,3.4300879400e-01,5.6063608000e-02,1.4054000002e-05,0.0000000000e+00,1.5767821000e-01,0.0000000000e+00,-1.4019781868e-01,-3.2268586070e-02,0.0000000000e+00,-1.5342816121e-20,5.2270655955e-02,1.0233609789e-02,-2.8754483698e-01,1.5000000000e+01
1,1,70,0.0000000000e+00,1.9180975089e+01,9.5418475682e+01,1.1046667392e+02,0.0000000000e+00,1.9965159977e+03,7.8501424089e+01,3.0783430372e+93,1.7253188680e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,6.5350052790e+00,7.6292597800e-01,5.4611537000e-02,3.4048606400e-01,4.3885907000e-02,1.3983000002e-05,0.0000000000e+00,1.5789670300e-01,0.0000000000e+00,-5.2411899200e-03,1.7636905083e+00,0.0000000000e+00,-1.8639915533e-21,5.3953552704e-02,3.4099014626e+00,9.0282818501e-01,1.5000000000e+01
1,1,80,0.0000000000e+00,1.2668110256e+01,9.3557418288e+01,1.1197199878e+02,0.0000000000e+00,1.3869093547e+03,5.8580121025e+01,3.0783430372e+93,1.7455853390e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,7.2958212970e+00,7.6070286200e-01,5.4553479000e-02,3.4095452100e-01,4.3313834000e-02,1.3657999999e-05,0.0000000000e+00,1.5744092900e-01,0.0000000000e+00,-1.9427626091e-01,3.6796881194e+00,0.0000000000e+00,-5.7387848475e-21,5.7549035954e-02,7.2091763670e+00,1.5294338150e+00,1.5000000000e+01
1,1,90,0.0000000000e+00,2.0229787007e+01,5.8510307297e+01,6.5076666494e+01,0.0000000000e+00,2.2459906903e+03,7.6543379177e+01,3.0783430372e+93,1.7315855965e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,8.0579161700e+00,7.6195830600e-01,5.4643426000e-02,3.4082490700e-01,4.5230719000e-02,1.5932000002e-05,0.0000000000e+00,1.5739854900e-01,0.0000000000e+00,1.4652547824e-01,1.3786305378e+00,0.0000000000e+00,-1.0950315842e-20,5.7936663004e-02,2.5874625140e+00,9.9669716595e-01,1.5000000000e+01
1,1,100,0.0000000000e+00,1.6153553086e+01,6.4248312099e+01,8.6033764256e+01,0.0000000000e+00,1.6486997454e+03,6.3951801966e+01,3.0783430372e+93,1.7205095590e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,8.8336160990e+00,7.7558503700e-01,5.7071133000e-02,3.4391546800e-01,5.2721236000e-02,1.3821000001e-05,0.0000000000e+00,1.5752328400e-01,0.0000000000e+00,-2.9121663808e-01,1.8100307210e+00,0.0000000000e+00,-8.5798459508e-21,6.1541945624e-02,3.6474556639e+00,3.7435350208e-01,1.5000000000e+01
