step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,5.4783725949e+01,3.0615227004e+02,3.5756919684e+02,0.0000000000e+00,5.9756773944e+03,1.7828370320e+02,3.0783430372e+93,1.7356460353e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.6770879600e+00,3.5163999200e-01,2.8792002000e-02,1.9598430600e-01,5.7601472000e-02,6.6089999995e-06,0.0000000000e+00,7.1438834000e-02,0.0000000000e+00,7.8396300308e-01,3.8582659624e-03,0.0000000000e+00,-1.0645589644e-20,6.4965220598e-02,-3.9835551423e-01,1.5164974085e+00,1.5000000000e+01
1,1,20,0.0000000000e+00,6.8912724043e+01,3.1557249567e+02,4.1518979525e+02,0.0000000000e+00,7.6473195374e+03,2.1797244001e+02,3.0783430372e+93,1.7336046029e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.9777307930e+00,3.0049706200e-01,2.7684514000e-02,1.9490054000e-01,5.4533027000e-02,4.7489999999e-06,0.0000000000e+00,6.9415302000e-02,0.0000000000e+00,5.1069242301e-01,1.6777487740e-02,0.0000000000e+00,-1.7743374341e-20,6.9455901148e-02,-2.3194223311e-01,9.9526666806e-01,1.5000000000e+01
1,1,30,0.0000000000e+00,7.4891187648e+01,2.7442764630e+02,3.0400384054e+02,0.0000000000e+00,8.4109172146e+03,2.4083012042e+02,3.0783430372e+93,1.7392701929e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.2762303970e+00,2.9839647200e-01,2.7794156000e-02,1.9595758900e-01,5.1157348000e-02,6.5539999996e-06,0.0000000000e+00,6.9486382000e-02,0.0000000000e+00,3.6168504734e-01,1.4788765609e-02,0.0000000000e+00,-1.7184875872e-20,7.0974164165e-02,-1.5865225588e-01,7.0637708480e-01,1.5000000000e+01
1,1,40,0.0000000000e+00,4.9588923548e+01,2.4578933194e+02,3.6238746722e+02,0.0000000000e+00,5.2099507832e+03,1.8650165753e+02,3.0783430372e+93,1.7404794554e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.5748257220e+00,2.9849309800e-01,2.7727428000e-02,1.9628545700e-01,5.0642466000e-02,5.9070000002e-06,0.0000000000e+00,6.9506792000e-02,0.0000000000e+00,2.0787350816e-01,7.8085451564e-03,0.0000000000e+00,1.7388537766e-20,7.1073063964e-02,-9.2518294901e-02,4.0562278066e-01,1.5000000000e+01
1,1,50,0.0000000000e+00,5.0925160566e+01,2.5466472641e+02,2.4874579621e+02,0.0000000000e+00,5.4443017277e+03,1.8076398689e+02,3.0783430372e+93,1.7365438369e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.8764055940e+00,3.0148588000e-01,2.8035616000e-02,1.9576557700e-01,5.1603167000e-02,6.3510000001e-06,0.0000000000e+00,6.9946318000e-02,0.0000000000e+00,4.0046630090e-03,-4.6248943892e-02,0.0000000000e+00,-2.4139090766e-20,7.0593989527e-02,-9.1419064799e-02,-1.6203800138e-02,1.5000000000e+01
1,1,60,0.0000000000e+00,4.8111094963e+01,2.0119804424e+02,2.3495177162e+02,0.0000000000e+00,5.1041482293e+03,1.7285389719e+02,3.0783430372e+93,1.7274517104e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.1854796950e+00,3.0896358700e-01,2.7663052000e-02,1.6973761000e-01,1.4207787000e-02,5.5859999990e-06,0.0000000000e+00,6.9712872000e-02,0.0000000000e+00,-1.5861423180e-01,3.6445400025e-01,0.0000000000e+00,-4.7750292540e-21,6.9888820555e-02,7.8617583070e-01,-1.1776389317e-01,1.5000000000e+01
1,1,70,0.0000000000e+00,3.8874717046e+01,2.1418940171e+02,2.6138874015e+02,0.0000000000e+00,4.0854605564e+03,1.6269840540e+02,3.0783430372e+93,1.7220030767e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.4449584720e+00,2.5936231200e-01,2.7625473000e-02,1.6848551800e-01,1.1960631000e-02,7.1539999995e-06,0.0000000000e+00,6.9398993000e-02,0.0000000000e+00,-2.4680238996e-01,2.6569183373e+00,0.0000000000e+00,-2.4605430164e-20,6.9089468893e-02,5.2605263985e+00,8.9853652906e-01,1.5000000000e+01
1,1,80,0.0000000000e+00,4.0524164370e+01,1.8534373509e+02,2.3661085086e+02,0.0000000000e+00,4.2560773815e+03,1.6095623000e+02,3.0783430372e+93,1.7169564994e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.7049219580e+00,2.5985553100e-01,2.7749345000e-02,1.6875061600e-01,1.1938251000e-02,6.2250000004e-06,0.0000000000e+00,6.9475302000e-02,0.0000000000e+00,-3.2908554925e-01,-1.3233359454e+00,0.0000000000e+00,-1.6645289761e-20,6.8353322582e-02,-2.3861415178e+00,-1.3207535536e+00,1.5000000000e+01
1,1,90,0.0000000000e+00,4.2017892128e+01,1.5739060202e+02,2.0424480343e+02,0.0000000000e+00,4.7298155846e+03,1.6144857004e+02,3.0783430372e+93,1.7183270027e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.9787363330e+00,2.7369018500e-01,2.8892387000e-02,1.7432589000e-01,2.2649929000e-02,4.6490000001e-06,0.0000000000e+00,6.9983025000e-02,0.0000000000e+00,-1.0951370932e-01,-5.2969190381e+00,0.0000000000e+00,-6.4355924476e-21,6.7057981718e-02,-1.0176173330e+01,-2.9534512952e+00,1.5000000000e+01
1,1,100,0.0000000000e+00,3.0044679370e+01,2.1353224658e+02,2.2827439331e+02,0.0000000000e+00,3.1386994288e+03,1.3904773132e+02,3.0783430372e+93,1.7073497976e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.2453497890e+00,2.6648742900e-01,2.7815048000e-02,1.6964459100e-01,1.9080861000e-02,7.8349999999e-06,0.0000000000e+00,6.9620850000e-02,0.0000000000e+00,3.2755389412e-01,2.1942057923e-02,0.0000000000e+00,3.7454724116e-20,6.6068206338e-02,-1.2716557133e-01,6.4414357663e-01,1.5000000000e+01
