step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,9.4059039598e+00,3.7224151882e+01,5.1033000026e+01,0.0000000000e+00,1.1064545417e+03,4.2494915069e+01,3.0783430372e+93,1.7326432009e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.4336496670e+00,1.1105804850e+00,5.8207293000e-02,3.4375783400e-01,1.2889067200e-01,1.6312999999e-05,0.0000000000e+00,1.5696770700e-01,0.0000000000e+00,1.0837450500e-01,7.2706955082e-02,0.0000000000e+00,-9.6066064669e-21,3.5796649981e-02,8.4360279536e-02,2.4699935595e-01,1.5000000000e+01
1,1,20,0.0000000000e+00,2.9385526189e+00,1.6950464610e+01,2.9715749877e+01,0.0000000000e+00,2.9824179084e+02,2.8188171463e+01,3.0783430372e+93,1.7354893033e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.5011451890e+00,1.0673221260e+00,5.7895898000e-02,3.4124579900e-01,1.2073390500e-01,1.9093000002e-05,0.0000000000e+00,1.5723971100e-01,0.0000000000e+00,2.3480103160e-02,4.3674707116e-01,0.0000000000e+00,-1.3473186400e-20,3.7818643399e-02,8.3157635542e-01,2.7143699591e-01,1.5000000000e+01
1,1,30,0.0000000000e+00,1.4282437671e+00,1.3458651267e+01,1.3998719025e+01,0.0000000000e+00,1.2005575123e+02,2.4298540849e+01,3.0783430372e+93,1.7338518818e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.5622860700e+00,1.0609984550e+00,5.6557209000e-02,3.4141708300e-01,1.1414260500e-01,1.5675999998e-05,0.0000000000e+00,1.5733943200e-01,0.0000000000e+00,-4.5219170485e-02,7.5797702798e-01,0.0000000000e+00,-3.8011161861e-21,4.1284882551e-02,1.4877063392e+00,3.0500105195e-01,1.5000000000e+01
1,1,40,0.0000000000e+00,1.3360517269e+00,8.0951349154e+00,6.4621238725e+00,0.0000000000e+00,1.4023056872e+02,1.9662555665e+01,3.0783430372e+93,1.7308055457e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,6.6218604220e+00,1.0594565970e+00,6.2000199000e-02,3.4721743600e-01,1.0845980800e-01,1.5929999998e-05,0.0000000000e+00,1.5697358900e-01,0.0000000000e+00,-1.0320192458e-01,7.9273766521e-01,0.0000000000e+00,-5.2922769636e-21,4.5792298962e-02,1.5848728157e+00,2.1098040250e-01,1.5000000000e+01
1,1,50,0.0000000000e+00,8.0299362601e-01,7.1700466164e+00,4.8463495445e+00,0.0000000000e+00,6.9093173467e+01,1.6409359912e+01,3.0783430372e+93,1.7294493794e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,7.6478976040e+00,1.0258996510e+00,5.9351233000e-02,3.3944671000e-01,7.6161158000e-02,1.3847999999e-05,0.0000000000e+00,1.5755251200e-01,0.0000000000e+00,-1.2010139322e-01,7.3596391567e-01,0.0000000000e+00,-2.2708972896e-21,5.0258157017e-02,1.4839421626e+00,1.4894488079e-01,1.5000000000e+01
1,1,60,0.0000000000e+00,7.7693098906e-01,4.2654079838e+00,2.8417042898e+00,0.0000000000e+00,8.3466369417e+01,1.4081521020e+01,3.0783430372e+93,1.7300443896e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,8.7043480010e+00,1.0563119150e+00,5.6028097000e-02,3.4013781200e-01,7.4721063000e-02,1.7059999998e-05,0.0000000000e+00,1.5693382100e-01,0.0000000000e+00,-1.0961676494e-01,7.1257834369e-01,0.0000000000e+00,-2.2439301356e-21,5.4144331226e-02,1.4333374637e+00,1.5709436445e-01,1.5000000000e+01
1,1,70,0.0000000000e+00,4.5870807418e-01,4.0318468824e+00,2.5154488090e+00,0.0000000000e+00,3.5151811516e+01,1.4735153879e+01,3.0783430372e+93,1.7306025837e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,9.7070679460e+00,1.0026007710e+00,5.5912611000e-02,3.3853159300e-01,5.9247127000e-02,1.5214999998e-05,0.0000000000e+00,1.5683227000e-01,0.0000000000e+00,-9.8648154193e-02,7.2476191606e-01,0.0000000000e+00,3.6722453518e-21,5.7649418032e-02,1.4511965474e+00,1.8459077438e-01,1.5000000000e+01
1,1,80,0.0000000000e+00,4.3480553348e-01,2.3418491386e+00,1.4899237693e+00,0.0000000000e+00,4.7584012660e+01,2.2268293996e+01,3.0783430372e+93,1.7302044053e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.0791038090e+01,1.0838544450e+00,5.8583375000e-02,3.6087660700e-01,1.4073398100e-01,1.3835000003e-05,0.0000000000e+00,1.5760728700e-01,0.0000000000e+00,-9.5908276736e-02,7.4697574101e-01,0.0000000000e+00,1.9488945897e-22,6.0859566470e-02,1.4926920969e+00,2.0138253310e-01,1.5000000000e+01
1,1,90,0.0000000000e+00,2.5444280434e-01,2.4142886913e+00,1.5671184517e+00,0.0000000000e+00,1.8920548206e+01,4.3327598431e+01,3.0783430372e+93,1.7299549771e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.1812760287e+01,1.0215758380e+00,5.7053023000e-02,3.3970464600e-01,7.4158690000e-02,1.4182000001e-05,0.0000000000e+00,1.5692669900e-01,0.0000000000e+00,-9.8104078273e-02,7.4381527935e-01,0.0000000000e+00,5.9842035251e-21,6.3309187056e-02,1.4877231843e+00,1.9550459493e-01,1.5000000000e+01
1,1,100,0.0000000000e+00,2.5247670043e-01,1.5381664049e+00,1.1498259984e+00,0.0000000000e+00,2.7646603633e+01,7.3747487481e+01,3.0783430372e+93,1.7301024067e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.2816900851e+01,1.0040262790e+00,5.5970048000e-02,3.3856946700e-01,5.9157455000e-02,1.4678999996e-05,0.0000000000e+00,1.5700004900e-01,0.0000000000e+00,-9.4533888298e-02,7.6643465955e-01,0.0000000000e+00,6.1141246068e-21,6.4535765199e-02,1.5295724050e+00,2.1411032510e-01,1.5000000000e+01
